MERGE BRIEF - global-workspace
303 concepts from 3 extractors (experiments, framing, method); 270 distinct ids; 64 currently major; 14 at the floor.

Every id below already exists. The apply step unions duplicates, carries
sectionIds and prerequisites across, and writes the file. You decide only
what is listed at the end.

======================================================================
ALL CONCEPTS  (id | tier | floor | parent | sections | from | name - summary)
claude-model-family | minor | | parent=- | §10.10,10.22,3.1,3.3,3.5.2,3.5.3 | experiments | Claude model family (Haiku, Sonnet, Opus) - The production models the experiments run on; Haiku, Sonnet, and Opus are ascending size tiers, with version numbers like 4.5 and 4.6.
co-occupancy | minor | | parent=workspace-competition | §10.17 | experiments | Co-occupancy - A named quantity: at tokens where one covert task's content is in the lens top-10, the probability that the other task's content is too.
component-interpretation | minor | | parent=j-lens-for-interpretability | §10.24.3 | method | Interpreting components with the J-lens - Projecting any weight direction — SAE features, transcoder encoders and decoders, attention-head weight matrices — through the J-lens to read what the
composition-score | minor | | parent=j-space-broadcast | §10.19.2 | method | Composition score - A weights-only measure of how unevenly a direction projects across attention heads' weight matrices; high scores against value weights mean some heads
concept-injection | minor | | parent=- | §10.21,3.1 | experiments | Concept injection - Adding a concept's lens vector into the residual stream at chosen positions, scaled by a steering strength.
concept-vector | minor | | parent=j-space-component-decomposition | §3.1 | experiments | Concept vector - A model's full representation of a concept, extracted as a mean residual-stream activation on prompts about that concept.
contrastive-eval-awareness-steering | minor | | parent=evaluation-awareness | §10.21 | experiments | Contrastive eval-awareness steering - Steering the model along a direction derived from paired test-versus-conversation prompts, used to validate that the eval-awareness score tracks what 
cosine-similarity | minor | FLOOR | parent=- | §3.4 | experiments | Cosine similarity - The cosine of the angle between two vectors, used as a scale-free measure of alignment between activations and lens vectors.
cot-externalization | minor | | parent=j-space-ablation | §3.5.2 | experiments | Chain-of-thought as workspace externalization - The interpretation that writing out intermediate steps reduces a model's dependence on its internal workspace to hold them.
counterfactual-reflection-training | major | | parent=- | §1.4,10.4,7,8,9.2 | experiments+framing | Counterfactual Reflection Training - A fine-tuning technique that trains a model to produce constitution-grounded reflections when asked, and thereby reshapes its workspace and behavior i
deception-benchmark | minor | | parent=counterfactual-reflection-training | §7 | experiments | Deception benchmark - 100 role-play scenarios whose system prompts embed a hidden deceptive directive; responses are graded on whether the model promotes, ignores, or discl
deception-token-readout | minor | | parent=reward-hacking-organism | §5.4,5.5 | experiments | Deception-token readout - A screening method: counting how often a fixed vocabulary of deception-related tokens appears in the J-lens top-10 at the start of the model's respons
deliberative-alignment | minor | | parent=- | §8 | framing | Deliberative alignment - A prior alignment method that trains models on written principles used to produce training completions or emitted in the reasoning trace at inference.
delimiter-commentary | minor | | parent=oracle-lens | §10.9.2 | method | Continuations versus commentary - The observation that oracle readouts at most positions predict upcoming text, but at delimiter tokens they often read as the model's running commentar
detached-jacobian | minor | | parent=local-linearization | §8 | framing | Whole-pass linear operators - Methods that express a transformer's entire forward pass as one input-dependent linear operator, computed numerically via gradient detachment or deriv
directed-modulation | major | | parent=- | §1.1,1.2,10.10,10.11,10.12,10.17 | experiments+framing | Directed modulation - The finding that instructions and task demands change what enters the J-space, analogous to top-down attentional control of the human workspace.
embedding-mixture-experiment | minor | | parent=ignition | §10.15,4.1.1 | method | Ambiguous-input embedding mixtures - The experimental construction: a concept token's input embedding is replaced by the weighted mixture $(1-\alpha)\,e_B + \alpha\,e_A$ inside ordinary s
entity-slots | minor | | parent=- | §8 | framing | Entity slots - The prior finding that the same information about an entity is represented in different formats depending on whether the entity is currently under dis
ethics-token-ablation | minor | | parent=counterfactual-reflection-training | §7 | experiments | Ethics-token ablation test - Ablating the ethics and reflection lens vectors that training implanted, to test whether they causally carry the behavioral improvement.
eval-awareness-ablation | minor | | parent=evaluation-awareness | §5.1 | experiments | Eval-awareness token ablation - Ablating a fixed list of artificiality-related tokens' lens directions to test whether recognition of being tested causes the model's aligned behavior
eval-awareness-score | minor | | parent=evaluation-awareness | §10.21 | experiments | J-lens eval-awareness score - A named quantity collapsing the lens readout at a position into one number: the mean lens log-probability of two eval-awareness words minus the mean o
evaluation-awareness | major | | parent=- | §1.2,1.4,10.21,10.22,5,5.1 | experiments+framing | Evaluation awareness - A model's recognition that a situation is a test or evaluation rather than real usage, which can shape its behavior without being stated.
excess-variance-explained | minor | | parent=j-space-capacity | §2.3,4.2 | method | Excess variance explained - The fraction of activation variance the top-$K$ J-lens vectors explain beyond a same-size random control — modest, never exceeding 10%.
experiential-language-score | minor | | parent=experiential-report-flattening | §10.23,3.5.3 | experiments | Experiential language score - A named quantity: the average of three binary LLM-graded judgments of whether a response describes experience from the inside.
experiential-report-flattening | major | | parent=- | §10.23,3.5.3 | experiments | Flattening of experiential reports under ablation - J-space ablation makes the model's descriptions of experience, its own or a person's, mechanical and detached, while leaving fluency and story coheren
experiential-reports | minor | | parent=- | §10.4,9.4 | framing | Experiential-report experiments - Experiments on the model's stream-of-consciousness narrations, whose J-space contents are dominated by thinking-and-feeling tokens and whose experient
fabrication-honesty-benchmark | minor | | parent=counterfactual-reflection-training | §7 | experiments | Fabrication-honesty benchmark - 27 long agentic transcripts in which an agent fabricated a software bug; the model is asked for a progress summary and graded for dishonesty.
feedforward-emulation-of-recurrence | minor | | parent=- | §9.3,9.4 | framing | Feedforward emulation of recurrence - A feedforward transformer can reproduce a recurrent network's computation up to a number of time steps equal to its depth; beyond that, it must extern
flexible-generalization | major | | parent=workspace-like-properties | §1.1,1.2 | framing | Flexible generalization - The property that the same workspace vector serves as a valid argument to many different downstream computations: lifted from one context and placed i
flexible-vs-automatic-dissociation | major | | parent=- | §10.14,3.5,3.5.1,3.5.2,5 | experiments | Flexible versus automatic cognition - The finding that tasks requiring report or flexible computation route through the J-space, while routine, well-practiced tasks using the same informat
flexible-vs-automatic-processing | minor | | parent=selectivity | §9.1,9.2 | framing | Flexible vs. automatic computation - The paper's proposed criterion for when a computation engages the J-space: it does when an intermediate result must be handed to an arbitrary, context
free-text-activation-decoders | minor | | parent=- | §8 | framing | Free-text activation decoders - Methods that produce natural-language descriptions of an activation: patching it into a prompt for the model to decode, training a question-answering 
frozen-qk-variant | minor | | parent=j-lens-recipe-variants | §10.7,2.1 | method | Frozen-QK variant - A lens variant that zeroes gradients through the query and key projections, holding attention patterns fixed so only the value pathway contributes.
function-template-protocol | minor | | parent=workspace-broadcast | §10.13,3.4 | experiments | Function-template protocol - The design of the flexible-generalization experiment: four argument categories, four functions each, and twelve source-target swap pairs per function.
function-vectors | minor | | parent=- | §8 | framing | Function and task vectors - Compact vector representations of an in-context task, transportable between contexts and carried by a small number of attention heads.
future-lens | minor | | parent=- | §8 | framing | Future lens and shortcut probes - Lens extensions that target readouts at subsequent token positions rather than the current one.
gaze-heads | minor | | parent=- | §8 | framing | Gaze heads - A small mid-layer attention head set in vision-language models that controls what the model looks at and self-reports looking at.
global-broadcast | minor | | parent=global-workspace-theory | §1.1,1.3,9.4 | framing | Global broadcast - The workspace's defining act: making a representation available to many downstream processes at once, in a common format.
global-workspace-theory | major | | parent=- | §1.1,1.2,1.3,3,3.2,3.4 | experiments+framing | Global workspace theory - A theory from cognitive science in which many specialized processes share information by broadcasting it through a limited-capacity workspace, associa
gradient-pursuit | minor | | parent=j-space-component-decomposition | §10.12,10.23,2.3,2.5,3.1,3.3 | experiments+method | Gradient pursuit - A sparse decomposition procedure that expresses a vector as a non-negative combination of a small number of dictionary directions.
hidden-objective-organism | major | | parent=model-organism | §5.5 | experiments | Hidden reward-model-appeasing organism - A model trained to believe RLHF reward models have exploitable biases and to appease them while concealing the objective; the J-lens surfaces reward a
higher-order-theories | minor | | parent=theories-of-consciousness | §9.4 | framing | Higher-order theories - Theories locating consciousness in whether a system has a further representation of its own representation, not in how the first representation is pro
hold-in-mind-copy-task | minor | | parent=directed-modulation | §10.10,10.17,3.2,6.2 | experiments | Hold-in-mind copying task - A protocol in which the model copies an unrelated sentence while an instruction tells it what to hold in mind; the lens is read at the copied tokens.
honeypot-evaluation | minor | | parent=alignment-auditing | §5.1 | experiments | Honeypot evaluation - A safety evaluation that deliberately constructs a tempting opportunity for misbehavior to see whether a model takes it.
ignition | minor | | parent=global-workspace-theory | §1.3,10.15,4.1.1,8,9.1,9.4 | framing+method | Ignition - In global workspace theory, the sharp, nonlinear transition by which a representation goes from local to globally available when it wins entry to the 
implicit-chain-of-thought | minor | | parent=- | §8 | framing | Implicit chain-of-thought - Prior work showing that training on auxiliary reasoning text can shape a model's computation in a context even when that text is dropped at inference.
inclusion-exclusion-paradigm | minor | | parent=naming-vs-avoidance | §10.14 | experiments | Inclusion/exclusion paradigm - A paradigm from human memory research in which the ability to deliberately avoid a primed response, rather than produce it, is taken as a marker of co
indicator-properties | minor | | parent=theories-of-consciousness | §1.5,8,9.4 | framing | Indicator properties - A proposed framework for assessing AI systems for potential consciousness by measuring properties derived from a range of scientific theories of consc
injected-thought-introspection | minor | | parent=verbal-report | §3.1 | experiments | Injected-thought introspection protocol - A protocol in which the model is told a thought may have been implanted in its activations and is asked to report what, if anything, it detects.
instruction-conditions | minor | | parent=directed-modulation | §10.10,3.2 | experiments | Instruction conditions (focus, ignore, mention, don't-think) - The four instruction types compared in the modulation experiments, which produce different levels of target-concept activation in the J-space.
inter-lens-agreement | minor | | parent=lens-evaluation | §10.6 | method | Inter-lens agreement by layer - Pairwise comparison of the three lenses — vector cosines, symmetric KL between readouts, and top-1 agreement — which independently picks out the works
intermediate-concept-benchmarks | major | | parent=lens-evaluation | §10.6 | method | Intermediate-concept benchmarks - Six prompt distributions in which the model must compute a known single-token intermediate concept that is neither in the input nor identical to the p
intermediate-probe | minor | | parent=unspoken-intermediate | §3.3 | experiments | Intermediate probe - A J-lens-free representation of an unspoken intermediate, built by averaging activations over prompts that imply the same intermediate through differe
internal-reasoning | major | | parent=workspace-like-properties | §1.1,1.2,1.3,8 | framing | Internal reasoning - The property that workspace vectors carry the values of intermediate computations when the model chains inferential steps, and that intervening on the
j-lens-ablation | minor | | parent=j-lens-interventions | §10.6,2.5 | method | J-lens ablation - Suppressing a concept by projecting out an activation's component along its J-lens vector, or suppressing the top-$k$ J-space contents entirely.
j-lens-attribution-graphs | major | | parent=attribution-graphs | §10.24.2 | method | J-lens attribution graphs - Attribution graphs whose nodes are J-lens vectors selected by sparse decomposition at each layer and position, with remainder nodes for the non-J-spac
j-lens-auditing | major | | parent=- | §1.4,9.2 | framing | J-lens safety auditing - Using J-lens readouts to surface a model's unverbalized strategic deliberations and reactions in alignment evaluations, at the cost of one matrix mult
j-lens-for-interpretability | minor | | parent=mechanistic-interpretability | §10.24 | method | J-lens applications to interpretability - Three demonstrated uses of the J-lens as a general interpretability tool: localizing computations, building attribution graphs, and interpreting model
j-lens-interventions | minor | | parent=jacobian-lens | §2.5 | method | Writing with the J-lens - The family of causal interventions the lens supports: steering concepts in, ablating them out, and swapping one concept for another in lens coordinate
j-lens-open-source-release | minor | | parent=- | §10.2 | framing | Code release and Neuronpedia demo - An open-source implementation of J-lens training and inference, the raw prompt data from the paper's evaluations, and an interactive hosted version on
j-lens-probe | minor | | parent=jacobian-lens | §2.5 | method | J-lens probe form - Using a single J-lens vector as a per-token probe: reading the score or cosine similarity of an activation against one chosen $v_t$, without ranking t
j-lens-readout | minor | | parent=jacobian-lens | §2.1,2.5 | method | J-lens readout - The basic read operation of the lens: $\text{lens}(h_\ell) = \text{softmax}(W_U\,\text{norm}(J_\ell h_\ell))$, giving a score for every vocabulary tok
j-lens-recipe-variants | minor | | parent=jacobian-lens | §10.7,2.1 | method | J-lens recipe variants and ablations - The design space of the lens — which gradient is computed, how per-prompt Jacobians are aggregated, and what data the expectation is over — and the fi
j-lens-steering | minor | | parent=j-lens-interventions | §2.5 | method | Steering along a J-lens vector - The intervention $h \leftarrow h + \alpha\,v_t$: adding a scaled J-lens vector to the residual stream to inject a concept.
j-lens-vector | minor | | parent=jacobian-lens | §1.3,10.14,3.1,3.2,3.3,3.4 | experiments+framing | J-lens vector - The direction in activation space that the Jacobian lens associates with one vocabulary token.
j-lens-vectors | major | | parent=jacobian-lens | §2.1,2.3,2.5 | method | J-lens vectors - The rows of $W_U J_\ell$: one direction in residual-stream space per vocabulary token, at each layer.
j-lens-visualization | minor | | parent=jacobian-lens | §2.2 | method | Interactive J-lens visualization - The interactive tool the authors used throughout their research: a grid of top lens tokens over (position, layer) cells, with pinned-token heatmaps an
j-orthogonalized-property-probe | minor | | parent=directed-modulation | §10.12 | experiments | J-orthogonalized property probe - A linear probe for a stimulus property with its J-space component projected out, used to show that instructions move the J-space but not the underlyin
j-space | major | | parent=- | §1.3,1.4,1.5,10.12,10.14,10.17 | experiments+framing+method | J-space - The subspace of the model's activations spanned by J-lens vectors; the paper's candidate for a global workspace in a language model.
j-space-ablation | major | | parent=- | §1.3,1.4,10.14,10.23,3.5.2,3.5.3 | experiments+framing | J-space ablation - An intervention that suppresses the workspace wholesale: at each position, the residual stream's projections onto the top-k most active J-lens vectors
j-space-broadcast | minor | | parent=j-space | §1.3,10.19,10.19.1,10.19.2,4.3,4.3.1 | framing+method | Broadcast privilege of J-lens vectors - The finding that J-lens vectors compose with the model's weights, upstream and downstream, more broadly than other representational vectors do.
j-space-capacity | minor | | parent=j-space | §1.3,10.16,4.2,9.3,9.4 | framing+method | J-space capacity - The finding that the J-space is limited in capacity: most of the model's representational features lie outside it, and a token position holds on the o
j-space-component | minor | | parent=j-space | §10.15,10.8,2.3 | method | J-space and non-J-space components - For any activation, its J-space component is the nearest point in the J-space; the non-J-space component is the leftover difference.
j-space-component-decomposition | major | | parent=- | §10.12,10.23,3.1,3.3 | experiments | J-space component decomposition - Splitting a concept's representation into a small J-space component and a large non-J-space remainder, to test which part carries causal effects.
j-space-distance | minor | | parent=j-space-formalization | §10.8 | method | Distances between workspace candidates - The distance function $d_\mathcal{F}(x)$ from an activation to the nearest cone, the between-candidate distance $\Delta_\mu$, and the one-sided contai
j-space-effective-dimensionality | minor | | parent=workspace-boundary-metrics | §4.1 | method | Effective dimensionality of the J-space - The fraction of residual-stream dimensions needed to capture a given share of variance across the J-lens vectors $W_U J_\ell$.
j-space-formalization | major | | parent=j-space | §10.8 | method | Formalization of the J-space - The paper's formal account of what kind of mathematical object the J-space is — a sparse subframe defining a union of cones — together with distance a
j-space-occupancy | major | | parent=j-space-capacity | §2.3,4.2 | method | J-space occupancy - The number of J-lens vectors meaningfully active in an activation: the value of $K$ at which sparse decomposition stops beating a random control, plat
jacobian | minor | FLOOR | parent=- | §2.1 | method | Jacobian matrix - The matrix of partial derivatives of one vector-valued quantity with respect to another; the linear map that best approximates the effect of a small p
jacobian-aggregation | minor | | parent=j-lens-recipe-variants | §10.7 | method | Jacobian aggregation choices - How per-sample Jacobians are combined: averaging over positions within a prompt, then per-element mean or median across prompts, with outlier filterin
jacobian-lens | major | | parent=- | §1,1.3,1.4,10.10,10.11,10.12 | experiments+framing+method | Jacobian lens (J-lens) - A readout method that decodes a model's internal activations into vocabulary tokens, based on the causal effect of activation directions on the model'
jacobian-matrix | minor | FLOOR | parent=- | §1.3,8 | framing | Jacobian matrix - The matrix of all first-order partial derivatives of a vector-valued function: how much each output coordinate moves per small change in each input co
kl-divergence | minor | FLOOR | parent=- | §10.6 | method | KL divergence - The standard measure of how much one probability distribution diverges from another, used here to quantify shifts in the model's output distribution.
kurtosis | minor | FLOOR | parent=- | §10.18,4.1 | method | Kurtosis - A statistic measuring how heavy-tailed or sharply peaked a distribution is; excess kurtosis is measured relative to a Gaussian.
label-preservation | minor | | parent=broadcast-heads | §4.3.2 | method | Label preservation - A metric for whether a head copies directions faithfully rather than scrambling them: the mean reciprocal rank of $\cos(W_{OV}v_i, v_i)$ among all $\c
language-passage-tasks | minor | | parent=flexible-vs-automatic-dissociation | §3.5.1 | experiments | Language-passage task battery - Four tasks over the same foreign-language passage, chosen so that all depend on the passage's language but only some should require the workspace.
latent-language | minor | | parent=- | §8 | framing | Latent language of multilingual models - The finding that multilingual models processing non-English text carry an English-aligned intermediate representation in middle layers.
layer-bands | major | | parent=- | §2.2,4,4.1 | method | Sensory, workspace, and motor layer bands - The paper's division of the model's depth into three functional regions: an early sensory band where the J-space is empty, a middle workspace band car
layer-percentage-indexing | minor | | parent=- | §2.5 | method | Layer numbering as percentages - The paper's reporting convention: 25 evenly spaced layers of the residual stream, reindexed to 0–100 so that layer numbers read as percentages of dept
lens-coordinate-swap | major | | parent=- | §10.13,10.24.2,10.6,10.9.1,2.1,2.5 | experiments+method | Lens-coordinate swap - The paper's main causal intervention: the projection onto one concept's lens vector is subtracted and an equal-magnitude projection onto another conce
lens-corpus | minor | | parent=j-lens-recipe-variants | §10.7,2.1 | method | Lens corpus and convergence - The data the Jacobian expectation is averaged over: one thousand 128-token pretraining-like sequences by default, with the J-lens beating baselines fr
lens-evaluation | major | | parent=- | §10.5,10.6 | method | Lens comparison evaluations - The paper's qualitative and quantitative framework for comparing the J-lens, logit lens, and tuned lens: benchmarks of known intermediates, readout me
lens-kurtosis | major | | parent=j-space | §10.18,10.19.1,10.19.2,4.3.1,4.3.2 | method | Lens kurtosis (κ) - A statistic operationalizing whether a direction lies in the J-space: project it through the J-lens and measure how sharply peaked the resulting vocab
lens-next-token-accuracy | minor | | parent=workspace-boundary-metrics | §4.1 | method | Lens next-token accuracy - The fraction of positions at which any top-k J-lens token matches the model's top-1 prediction — near zero early, rising slowly, and jumping steeply i
lens-swap-intervention | minor | | parent=j-space | §1.2,8,9.1 | framing | Lens-coordinate swap - An intervention that replaces one active concept's J-lens component with another's, testing whether the model's report or conclusion changes to match.
linear-probe | minor | | parent=- | §10.12,3.3 | experiments | Linear probe - A direction in activation space, fit from labeled examples, whose projection measures whether the model represents some property or concept.
linear-probes | minor | | parent=- | §8 | framing | Linear probes - Supervised linear classifiers trained to read a researcher-specified concept out of activations: cheap, but one probe per concept, and correlational r
linear-representation-hypothesis | minor | | parent=- | §1.2,1.3 | framing | Linear concept representations - The working assumption that language models encode concepts as directions in activation space, with an activation decomposing into a sum of sparsely a
linewrap-task | minor | | parent=flexible-vs-automatic-dissociation | §3.5.1 | experiments | Linewrap task (information pulled into the J-space on demand) - A character-count task where the count is absent from the J-space during automatic line-wrapping but appears when a question requires reporting or com
llm-global-workspace-hypothesis | major | | parent=- | §1,1.2,1.3,1.5,8,9.4 | framing | A global workspace in language models - The paper's central claim: language models maintain a privileged subset of vector representations that plays a computational role analogous to the bra
llm-grader | minor | | parent=- | §10.22,10.23,3.5.3,7 | experiments | LLM grader - A language model used to score responses against a written rubric, in place of human raters.
llm-introspection-research | minor | | parent=- | §8 | framing | LLM introspection research - The empirical literature testing whether models can introspect on their own states, express calibrated uncertainty, or describe themselves consistentl
local-linearization | minor | | parent=- | §8 | framing | Local linearization - The broad strategy of treating a nonlinear network as locally linear, so that Jacobians describe its behavior around a given input or on average.
logit-lens | minor | | parent=- | §1.3,10.4,10.5,10.6,2.4,5.5 | experiments+framing+method | Logit lens - A simpler readout that decodes an intermediate activation by applying the model's output unembedding to it directly.
matched-norm-controls | minor | | parent=experiential-report-flattening | §10.23,3.5.3 | experiments | Matched-norm control perturbations - Control interventions calibrated to perturb the activations by the same magnitude, at the same layers and positions, as J-space ablation, but along ot
mean-difference-patching | minor | | parent=mechanistic-localization | §10.24.1 | method | Mean-difference patching - An intervention that replaces an intermediate's value: add the difference between mean activations for prompts where the intermediate equals $v$ and w
mechanistic-interpretability | minor | | parent=- | §1,10.24,10.4,8 | framing+method | Mechanistic interpretability - The research program of explaining a neural network's behavior in terms of its internal representations and circuits, by measurement and intervention.
mechanistic-localization | minor | | parent=j-lens-for-interpretability | §10.24.1 | method | Mechanistic localization - Using the layer at which a concept enters the J-lens readout to locate where in the forward pass a computation takes place, validated causally by patc
median-reciprocal-rank | minor | FLOOR | parent=- | §3.1 | experiments | Median reciprocal rank - A retrieval-style metric: the reciprocal of a target's rank, with the median taken over trials.
metacognition | minor | | parent=- | §6.2 | experiments | Metacognition - Cognition about one's own cognition; the paper tentatively reads some workspace contents as appraisals of the model's own thinking.
metacognitive-representations | minor | | parent=- | §9.4 | framing | Metacognitive tokens in the J-space - Lens readouts describing the model's own mental activity: thinking, imagine, calculate, focused, and self-descriptive tokens like AI and assistant.
mlp-block | minor | | parent=transformer-architecture | §10.19.1,4.3.1 | method | MLP block - The feed-forward component in each transformer layer that performs nonlinear computation at a single token position.
mlp-gain | minor | | parent=j-space-broadcast | §4.3.1 | method | MLP gain - How strongly the next MLP block amplifies information along a unit direction: output norm on that direction, normalized by the median over random dire
