# id | kind | tier | name | summary
transformer | concept | major | The Transformer | The architecture this paper proposes: an encoder-decoder built entirely from stacked self-attention and position-wise feed-forward layers, with no rec
training-flops-estimate | concept | minor | Training-cost FLOPs estimate | The paper estimates each model's training cost as training time x number of GPUs x an assumed sustained single-precision throughput per GPU.
transformer-ablations | concept | major | Model variation ablations (Table 3) | Experiments that change one component of the base model at a time and measure the effect on English-to-German translation, to see which parts matter.
attention-heads-ablation | concept | minor | Number of heads sweet spot (part of transformer-ablations) | Varying the head count with total computation held constant shows single-head attention is 0.9 BLEU worse than the best setting, but too many heads al
key-size-ablation | concept | minor | Reducing d_k hurts quality (part of transformer-ablations) | Shrinking the attention key dimension d_k lowers translation quality, suggesting the dot product may be too simple a compatibility function.
size-and-dropout-ablation | concept | minor | Model size and dropout effects (part of transformer-ablations) | Bigger models translate better, and dropout is very helpful in preventing over-fitting.
constituency-parsing | concept | major | English constituency parsing | The task of producing a sentence's syntactic tree — nested phrases like noun phrases and verb phrases — used as a generalization test for the Transfor
penn-treebank-wsj | concept | minor | Penn Treebank (WSJ portion) (part of constituency-parsing) | The standard constituency-parsing dataset: about 40K hand-parsed sentences from the Wall Street Journal.
semi-supervised-parsing | concept | minor | Semi-supervised parsing setting (part of constituency-parsing) | A second training regime that adds about 17M automatically parsed sentences from the high-confidence and BerkeleyParser corpora on top of the WSJ data
recurrent-neural-network-grammar | concept | minor | Recurrent Neural Network Grammar (RNNG) (part of constituency-parsing) | A parsing model that builds trees with explicit tree-structured operations; the one prior model the Transformer does not beat on parsing.
berkeley-parser | concept | minor | BerkeleyParser (part of constituency-parsing) | A classical (non-neural) grammar-based parser used as a baseline; the Transformer beats it even with only 40K WSJ training sentences.
fig-1 | figure | evidence | The two-stack data path | The figure shows the entire model in one picture: two towers of identical layers, each layer built only from attention and a position-wise feed-forwar
fig-2 | figure | evidence | Attention as a wiring diagram | The figure draws the paper's attention math as data flow. On the left, Equation (1) is laid out box by box: dot the queries against the keys, scale, o
table-1 | table | evidence | Layer types by cost and path length | The table is the paper's argument for replacing recurrence with self-attention. A self-attention layer connects every position to every other in a con
table-2 | table | evidence | Translation quality against training cost | On the WMT 2014 newstest2014 benchmarks, the big Transformer reports the best English-to-German BLEU in the table: 28.4, more than 2.0 BLEU above ever
table-3 | table | evidence | One-knob-at-a-time ablations | Table 3 changes one design choice of the base Transformer at a time and reports the effect on English-to-German development-set quality. It shows a mi
table-4 | table | evidence | The parsing leaderboard | Trained on the ~40K-sentence WSJ treebank with almost no task-specific tuning, a 4-layer Transformer reaches 91.3 F1 on WSJ Section 23. That is above 
fig-3 | figure | evidence | Heads tracking "making … more difficult" | This is one query word's attention pattern in a single encoder self-attention layer, drawn as lines running from that word to the positions it attends
fig-4 | figure | evidence | Two heads that resolve "its" | Two different attention heads in the same encoder layer put almost all of the word "its" attention on two different words — head 5 on "Law", head 6 on
fig-5 | figure | evidence | Two heads, one sentence | Two attention heads from the same encoder self-attention layer, run on the same sentence, produce visibly different attention patterns. One fans many 
eq-attention | equation | evidence | The scaled dot-product attention formula | This is the paper's whole attention function in one line: score every query against every key with a dot product, shrink the scores by $\sqrt{d_k}$, s
eq-multihead | equation | evidence | Attention in h parallel subspaces | Instead of one attention function over full-width 512-dimensional vectors, the Transformer runs $h=8$ attention functions in parallel. Each one works 
eq-ffn | equation | evidence | The per-position feed-forward block | Equation (2) defines the second sub-layer in every encoder and decoder layer: a two-layer MLP with a ReLU in between, applied to each position's vecto
eq-posenc | equation | evidence | Position as a bank of sinusoids | A model with no recurrence and no convolution has no idea what order its tokens are in. So the paper adds a fixed vector to each input embedding, whos
eq-lrate | equation | evidence | The warmup-then-decay learning rate | Equation (3) makes the learning rate a function of the training step rather than a constant. It rises linearly for the first warmup_steps steps, then 
layer-normalization-statistics | cited-concept | from Layer Normalization | Layer normalization statistics | Layer normalization standardizes a layer's activations using a mean and standard deviation computed across the hidden units of that layer, separately 
gain-and-bias-parameters | cited-concept | from Layer Normalization | Learned gain and bias | After standardization, each neuron gets its own learned multiplicative gain and additive bias, applied before the non-linearity, so the layer can reco
layer-norm-vs-batch-norm | cited-concept | from Layer Normalization | Contrast with batch normalization | Batch normalization computes each neuron's statistics across the training cases in a mini-batch; layer normalization computes them across the neurons 
per-timestep-normalization | cited-concept | from Layer Normalization | Per-step normalization in sequence models | In a recurrent or sequential model, layer normalization is applied independently at each time step, using only that step's activations, with one share
normalization-invariance-properties | cited-concept | from Layer Normalization | Invariance and learning-rate effects | Layer normalization makes the model's output invariant to re-scaling and re-shifting of a layer's whole weight matrix and to re-scaling of an individu
bpe-merge-algorithm | cited-concept | from Neural Machine Translation of Rare Words with Subword Units | BPE Merge Algorithm | A greedy loop that builds a subword vocabulary by repeatedly merging the most frequent adjacent symbol pair in the training corpus. Adapted from Gage'
bpe-segmentation-at-test-time | cited-concept | from Neural Machine Translation of Rare Words with Subword Units | Applying BPE Merges to New Text | At test time, words are split into characters and the learned merge operations are replayed in order, producing a segmentation of any word into known 
bpe-vocabulary-size | cited-concept | from Neural Machine Translation of Rare Words with Subword Units | Vocabulary Size as the Single Hyperparameter | The final BPE symbol vocabulary size equals the initial character vocabulary size plus the number of merge operations. The merge count is the algorith
joint-bpe-shared-vocabulary | cited-concept | from Neural Machine Translation of Rare Words with Subword Units | Joint BPE and the Shared Source-Target Vocabulary | Joint BPE learns one set of merge operations on the union (in practice, the concatenation) of the source and target training text, giving both languag
vocabulary-vs-sequence-length-tradeoff | cited-concept | from Neural Machine Translation of Rare Words with Subword Units | Vocabulary Size vs. Sequence Length Trade-off | Subword segmentation trades vocabulary size against tokenized sequence length: finer splits shrink the vocabulary but lengthen every sentence, and enc
label-smoothing-regularization | cited-concept | from Rethinking the Inception Architecture for Computer Vision | Label-Smoothing Regularization (LSR) | Replace the one-hot training target with a mixture of that one-hot target and a fixed label distribution, so the correct class gets mass $1-\epsilon$ 
lsr-as-two-cross-entropy-losses | cited-concept | from Rethinking the Inception Architecture for Computer Vision | LSR as a pair of cross-entropy losses | Because cross entropy is linear in the target, smoothing splits the loss into the ordinary one-hot cross entropy plus a term that pulls the predicted 
overconfidence-and-bounded-logit-gradient | cited-concept | from Rethinking the Inception Architecture for Computer Vision | Why one-hot targets encourage overconfidence | A one-hot target is only approached as the correct logit grows far larger than the rest, which the paper argues causes overfitting and, given the boun
smoothing-parameter-epsilon | cited-concept | from Rethinking the Inception Architecture for Computer Vision | Choosing $\epsilon$ and the prior $u$ | LSR has two knobs: the smoothing parameter $\epsilon$ and the fixed distribution $u$. The paper's reported setting is $\epsilon = 0.1$ with uniform $u
wordpiece-model | cited-concept | from Google's Neural Machine Translation System | Wordpiece model (sub-word vocabulary) | A data-driven sub-word vocabulary: words are split into a fixed set of common sub-word units, so any string can be encoded with no out-of-vocabulary t
length-normalization-penalty | cited-concept | from Google's Neural Machine Translation System | Length normalization penalty lp(Y) | A divisor applied to a hypothesis's log-probability during beam search so that longer and shorter candidates can be compared fairly. It is controlled 
coverage-penalty | cited-concept | from Google's Neural Machine Translation System | Coverage penalty cp(X; Y) | An extra term in the beam-search score that rewards hypotheses whose attention has spread over the whole source sentence. It is controlled by a weight
beam-search-pruning-and-termination | cited-concept | from Google's Neural Machine Translation System | Beam search pruning and early termination | Beyond keeping a fixed number of hypotheses, the decoder prunes candidates that fall a fixed margin below the current best, both per-step and among fi
input-and-output-embeddings | cited-concept | from Using the Output Embedding to Improve Language Models | Input and Output Embeddings | A word-level neural language model holds two matrices of the same shape: the input embedding that maps a token id to a vector, and the pre-softmax pro
weight-tying | cited-concept | from Using the Output Embedding to Improve Language Models | Weight Tying (U = V = S) | Weight tying replaces the separate input embedding and pre-softmax projection with one shared matrix S used in both roles. It cuts the parameter count
tied-embedding-update-dynamics | cited-concept | from Using the Output Embedding to Improve Language Models | Why Tying Helps: Update Dynamics | In an untied model, only the row of the current input word gets an input-embedding gradient each step, while every row of the output embedding gets on
three-way-weight-tying | cited-concept | from Using the Output Embedding to Improve Language Models | Three-Way Weight Tying | In an encoder-decoder translation model, three-way weight tying shares one matrix across the encoder input embedding, the decoder input embedding, and
parse-tree-linearization | cited-concept | from Grammar as a Foreign Language | Parse Tree Linearization | A constituency parse tree is turned into a flat token sequence by a depth-first traversal that emits an opening bracket-plus-label when entering a nod
wsj-parsing-protocol | cited-concept | from Grammar as a Foreign Language | WSJ Penn Treebank Evaluation Protocol | The standard constituency-parsing benchmark: train on the Wall Street Journal portion of the Penn Treebank (about 40K sentences), tune on section 22, 
semi-supervised-parsing-corpora | cited-concept | from Grammar as a Foreign Language | Machine-Parsed Semi-Supervised Corpora | Two large synthetic training sets built by running existing parsers over unlabeled web news: a ~7M-sentence corpus labeled by one parser, and a ~11M-s
parsing-baseline-scores | cited-concept | from Grammar as a Foreign Language | Reference F1 Scores on WSJ | The F1 numbers this line of work is compared against, on WSJ section 22 (dev) and section 23 (test), split into WSJ-only supervised parsers and semi-s
