# id | kind | tier | name | summary
bert | concept | major | BERT | A language representation model pre-trained on unlabeled text so that every layer conditions on both left and right context, then fine-tuned with one 
input-embedding-sum | concept | minor | Sum of token, segment and position embeddings (part of input-representation) | A token's input vector, written $E$, is the elementwise sum of its token embedding, its segment embedding and its position embedding.
final-hidden-vector-ti | concept | minor | T_i, the final vector for token i (part of input-representation) | The output of the top layer at position $i$, $T_i \in \mathbb{R}^H$, described as that token's contextual representation.
masked-language-model | concept | major | Masked LM (MLM) (part of bert) | BERT's first pre-training task: mask a random 15% of input tokens and train the model to predict the originals from context on both sides.
see-itself-problem | concept | minor | The "see itself" problem (part of masked-language-model) | Why a standard language model cannot be trained bidirectionally: with context from both sides, the target token reaches its own prediction through the
cloze-task | concept | minor | Cloze task (part of masked-language-model) | The older name for filling in a deleted word from surrounding context, which the paper notes is what MLM amounts to.
masking-rate-15-percent | concept | minor | 15% masking rate (part of masked-language-model) | In every experiment, 15% of the WordPiece token positions in each sequence are chosen at random for prediction.
mask-token | concept | minor | [MASK] token (part of masked-language-model) | The special placeholder substituted for a word the model must predict.
pretrain-finetune-mismatch | concept | minor | Pre-train / fine-tune mismatch (part of masked-language-model) | Any difference between the conditions a model was pre-trained under and those it meets at fine-tuning; here, [MASK] appears constantly in pre-training
masking-recipe-80-10-10 | concept | minor | The 80/10/10 masking recipe (part of masked-language-model) | Of the 15% chosen positions, 80% become [MASK], 10% become a random token, and 10% are left unchanged; the original token is the target in all three c
mlm-output-softmax | concept | minor floor | Output softmax over the vocabulary (part of masked-language-model) | Masked positions' final hidden vectors are projected to a distribution over the 30,000 WordPiece tokens and trained with cross-entropy on the original
denoising-autoencoder-contrast | concept | minor | Contrast with denoising autoencoders (part of masked-language-model) | Unlike a denoising autoencoder, BERT predicts only the masked words rather than reconstructing the whole input.
mlm-convergence-cost | concept | minor | MLM's slower convergence (part of masked-language-model) | Predicting only 15% of tokens per batch gives fewer gradient signals per step, so MLM converges slightly slower than a left-to-right model — but reach
next-sentence-prediction | concept | major | Next Sentence Prediction (NSP) (part of bert) | BERT's second pre-training task: a binary classification of whether span B actually followed span A in the corpus, predicted from the [CLS] vector.
isnext-notnext | concept | minor | IsNext / NotNext labels (part of next-sentence-prediction) | The two NSP labels: B genuinely followed A, or B is a random span from elsewhere in the corpus, balanced 50/50.
c-not-a-sentence-representation | concept | minor | C is not a sentence representation without fine-tuning (part of next-sentence-prediction) | A footnote cautioning that the pre-trained [CLS] vector should not be read as a general-purpose sentence embedding.
full-parameter-transfer-vs-sentence-embeddings | concept | minor | Transferring all parameters, not just sentence embeddings (part of next-sentence-prediction) | The paper's stated difference from prior sentence-representation objectives: those transfer only sentence embeddings downstream, while BERT transfers 
pre-training-procedure | concept | major | Pre-training procedure (part of bert-framework) | The concrete recipe: corpus, how input sequences are generated, batch size and step count, optimizer settings, and the sequence-length schedule.
pre-training-data | concept | minor | Pre-training corpus (part of pre-training-procedure) | BooksCorpus (800M words) plus English Wikipedia (2,500M words), roughly 3.3 billion words in total.
bookscorpus | concept | minor | BooksCorpus (800M words) (part of pre-training-data) | A corpus of unpublished books forming the smaller half of BERT's pre-training data, and the whole of GPT's.
english-wikipedia-corpus | concept | minor | English Wikipedia (2,500M words) (part of pre-training-data) | The larger half of the pre-training data, with only running text kept.
document-level-corpus | concept | minor | Document-level corpus (part of pre-training-data) | The requirement that pre-training text keep documents intact, so long contiguous sequences can be sampled.
billion-word-benchmark | concept | minor | Billion Word Benchmark (as a counter-example) (part of document-level-corpus) | The shuffled sentence-level corpus the paper names as the kind of data it deliberately avoids.
training-sequence-generation | concept | minor | Generating a training input sequence (part of pre-training-procedure) | Two spans are sampled, assigned the A and B embeddings, given the 50/50 NSP treatment, capped at 512 combined tokens, and then masked.
max-sequence-length-512 | concept | minor | 512-token maximum sequence length (part of training-sequence-generation) | The two sampled spans are drawn so their combined length does not exceed 512 tokens.
training-steps-and-epochs | concept | minor | 1,000,000 steps at 128,000 tokens per batch (part of pre-training-procedure) | Pre-training runs for one million updates on 256-sequence batches, approximately 40 passes over the 3.3 billion word corpus.
pretraining-optimizer-settings | concept | minor floor | Adam settings for pre-training (part of pre-training-procedure) | Adam with learning rate 1e-4, $\beta_1=0.9$, $\beta_2=0.999$, L2 weight decay 0.01, warmup over the first 10,000 steps then linear decay, and dropout 
gelu-activation | concept | minor | gelu activation (part of pre-training-procedure) | BERT uses the gelu activation rather than relu, following OpenAI GPT.
combined-pretraining-loss | concept | minor | Combined MLM + NSP training loss (part of pre-training-procedure) | The training loss is the sum of the mean masked LM likelihood and the mean next sentence prediction likelihood.
sequence-length-schedule | concept | minor | 128-then-512 sequence length schedule (part of pre-training-procedure) | 90% of pre-training steps use length-128 sequences; the last 10% use length 512, specifically to learn the longer-range position embeddings.
fine-tuning-bert | concept | major | Fine-tuning BERT (part of bert-framework) | Adapting the pre-trained model to a task by plugging in task-specific inputs and outputs and training every parameter end-to-end.
task-specific-input-output-plugging | concept | minor | Plugging in task-specific inputs and outputs (part of fine-tuning-bert) | Task adaptation consists of mapping the task's texts onto the A/B slots and attaching an output layer to the right hidden vectors.
degenerate-text-pair | concept | minor | Degenerate text-∅ pair (part of task-specific-input-output-plugging) | Single-text tasks are handled by treating the input as a pair whose second half is empty.
self-attention-unifies-cross-attention | concept | minor | Self-attention subsuming cross-attention (part of fine-tuning-bert) | The paper's argument that encoding a concatenated pair with self-attention already includes bidirectional cross attention between the two texts.
bidirectional-cross-attention | concept | minor | Bidirectional cross attention (part of self-attention-unifies-cross-attention) | Attention computed between two separately encoded texts in both directions, the pattern BERT's concatenated encoding replaces.
task-specific-output-layer | concept | minor | One additional output layer (part of fine-tuning-bert) | Task-specific models are formed by adding a single output layer to BERT, so a minimal number of parameters is learned from scratch.
end-to-end-fine-tuning | concept | minor | End-to-end fine-tuning of all parameters (part of fine-tuning-bert) | Both the pre-trained encoder and the new output layer are trained together on the task's labeled data.
fine-tuning-cost | concept | minor | Fine-tuning cost (part of fine-tuning-bert) | Every result in the paper can be reproduced in at most an hour on a single Cloud TPU, or a few hours on a GPU, starting from the pre-trained model.
fine-tuning-hyperparameters | concept | minor | Fine-tuning hyperparameter grid (part of fine-tuning-bert) | Fine-tuning reuses the pre-training settings except batch size (16 or 32), Adam learning rate (5e-5, 3e-5 or 2e-5) and epochs (2, 3 or 4), searched ov
dataset-size-hyperparameter-sensitivity | concept | minor | Small datasets are more hyperparameter-sensitive (part of fine-tuning-hyperparameters) | The authors observed that large datasets, around 100k+ labeled examples, were far less sensitive to hyperparameter choice than small ones.
exhaustive-hyperparameter-search | concept | minor | Exhaustive search on the development set (part of fine-tuning-hyperparameters) | Because fine-tuning is cheap, every combination in the grid is run and the best model on dev is kept.
eleven-task-evaluation | concept | major | The eleven-task fine-tuning sweep (part of bert) | BERT is evaluated by fine-tuning it on eleven NLP tasks, each with a small task-specific output layer on the same pre-trained encoder.
glue-benchmark | concept | major | GLUE benchmark (part of eleven-task-evaluation) | A collection of sentence and sentence-pair understanding datasets under one submission format and leaderboard, used as BERT's main sentence-level test
glue-score | concept | minor | GLUE leaderboard score (part of glue-benchmark) | The single aggregate number GLUE reports per system, averaging its per-task scores.
glue-evaluation-server | concept | minor | GLUE evaluation server and hidden test labels (part of glue-benchmark) | GLUE does not distribute test labels; scores come from submitting predictions to a server, which limits how often a system can be evaluated on test.
c-vector-classification-head | concept | minor | C-vector classification head (part of glue-benchmark) | For GLUE, the final [CLS] vector is fed to one new linear layer with weights $W \in \mathbb{R}^{K \times H}$, trained with ordinary cross-entropy.
glue-fine-tuning-protocol | concept | minor | GLUE fine-tuning protocol (part of glue-benchmark) | Batch size 32 and 3 epochs for every task, with only the learning rate chosen per task from a small grid on Dev.
fine-tuning-random-restarts | concept | minor | Random restarts for unstable fine-tuning (part of glue-fine-tuning-protocol) | BERT_LARGE fine-tuning was sometimes unstable on small datasets, so several restarts from the same checkpoint were run and the best kept on Dev.
mnli | concept | minor | MNLI (Multi-Genre NLI) (part of glue-benchmark) | A large crowdsourced entailment task over sentence pairs from multiple genres, with three labels.
qqp | concept | minor | QQP (Quora Question Pairs) (part of glue-benchmark) | A binary task: decide whether two Quora questions are semantically equivalent.
qnli | concept | minor | QNLI (Question NLI) (part of glue-benchmark) | SQuAD recast as binary classification: does this sentence contain the answer to this question?
sst-2 | concept | minor | SST-2 (Stanford Sentiment Treebank) (part of glue-benchmark) | Binary single-sentence sentiment classification over sentences from movie reviews.
cola | concept | minor | CoLA (Corpus of Linguistic Acceptability) (part of glue-benchmark) | Binary single-sentence classification of whether an English sentence is linguistically acceptable.
sts-b | concept | minor | STS-B (Semantic Textual Similarity Benchmark) (part of glue-benchmark) | Sentence pairs from news headlines and other sources annotated with a 1-to-5 similarity score.
mrpc | concept | minor | MRPC (Microsoft Research Paraphrase Corpus) (part of glue-benchmark) | Sentence pairs automatically extracted from online news, human-annotated for whether the two mean the same thing.
rte | concept | minor | RTE (Recognizing Textual Entailment) (part of glue-benchmark) | A binary entailment task similar to MNLI but with much less training data.
wnli | concept | minor | WNLI (Winograd NLI) and why it is excluded (part of glue-benchmark) | A small inference set built from Winograd schemas, dropped from the reported results because its construction is known to be problematic.
majority-class-baseline | concept | minor floor | Majority-class baseline (part of wnli) | Always predicting the most frequent label, used as the floor a real system must beat.
single-task-vs-multi-task-fine-tuning | concept | minor | Single-task fine-tuning (and the multi-task aside) (part of glue-benchmark) | All reported GLUE numbers come from fine-tuning one model per task; multi-task fine-tuning is mentioned only as an untested possibility.
squad-v1-1 | concept | major | SQuAD v1.1 (part of eleven-task-evaluation) | Over 100,000 crowdsourced question/answer pairs where the answer is a span of a given Wikipedia passage.
answer-span | concept | minor | Answer span (part of squad-v1-1) | A contiguous stretch of passage tokens, identified by start and end positions, that constitutes the answer.
packed-question-passage-sequence | concept | minor | Question and passage as one packed sequence (part of squad-v1-1) | Question and passage are concatenated into a single input, the question tagged with the A segment embedding and the passage with B.
span-prediction-head | concept | minor | Start/end vector span prediction head (part of squad-v1-1) | SQuAD fine-tuning adds only two vectors, $S$ and $E$, whose dot products with each token's final hidden vector give start and end distributions over t
start-and-end-vectors | concept | minor | Start vector S and end vector E (part of span-prediction-head) | The only task-specific parameters introduced for SQuAD: two $H$-dimensional vectors, one scoring each token as a span start, one as an end.
span-score-and-decoding | concept | minor | Span score and maximum-scoring-span decoding (part of span-prediction-head) | A candidate span from $i$ to $j$ scores $S \cdot T_i + E \cdot T_j$, and the prediction is the highest-scoring span with $j \geq i$.
triviaqa-augmentation | concept | minor | TriviaQA data augmentation (part of squad-v1-1) | Before fine-tuning on SQuAD, the model is first fine-tuned on TriviaQA, described as modest data augmentation to match leaderboard systems that may us
exact-match-and-f1 | concept | minor | Exact Match and F1 on SQuAD (part of squad-v1-1) | SQuAD's two metrics: EM counts a prediction correct only on an exact match, F1 gives partial credit for token overlap.
squad-leaderboard-public-data-rules | concept | minor | SQuAD leaderboard conditions (part of squad-v1-1) | Top leaderboard entries have no up-to-date public system descriptions and may train on any public data, which shapes how the comparison is set up.
prior-squad-systems | concept | minor | Prior published SQuAD systems (part of squad-v1-1) | The published baselines Table 2 compares against, mostly purpose-built reading comprehension architectures with attention machinery between question a
squad-v2-0 | concept | minor | SQuAD v2.0 (part of squad-v1-1) | SQuAD extended so a question may have no short answer in the paragraph, which the paper calls more realistic.
unanswerable-questions | concept | minor | Unanswerable questions (part of squad-v2-0) | Questions for which the paragraph contains no short answer; the correct output is an abstention.
cls-as-null-span | concept | minor | [CLS] as the null span (part of squad-v2-0) | Unanswerable questions are treated as having a span that starts and ends at [CLS], so abstention becomes another position in the same probability spac
null-span-score | concept | minor | Null score s_null (part of cls-as-null-span) | The score of abstaining, $s_{null} = S \cdot C + E \cdot C$, computed with the same start and end vectors against the [CLS] representation.
tau-threshold | concept | minor | Threshold τ for answering (part of cls-as-null-span) | A non-null answer is predicted only when $\hat{s}_{i,j} > s_{null} + \tau$, with τ chosen on dev to maximise F1.
swag-dataset | concept | minor | SWAG (Situations With Adversarial Generations) (part of eleven-task-evaluation) | 113k sentence-pair completion examples: given a sentence, choose the most plausible of four continuations.
grounded-commonsense-inference | concept | minor | Grounded commonsense inference (part of swag-dataset) | Judging which continuation of a described situation is plausible, using everyday knowledge rather than logical entailment.
swag-multiple-choice-head | concept | minor | Four packed sequences scored by one vector (part of swag-dataset) | Each candidate continuation is packed with the context into its own sequence; one learned vector dotted with each sequence's [CLS] representation give
ablation-studies | concept | major | BERT's ablation programme (part of bert) | Experiments that remove or vary one facet of BERT at a time to see how much each contributes.
effect-of-pre-training-tasks | concept | major | Effect of pre-training tasks (part of ablation-studies) | Two cut-down objectives, No NSP and LTR & No NSP, trained under identical conditions to isolate what next sentence prediction and bidirectionality eac
no-nsp-ablation | concept | minor | No NSP (part of effect-of-pre-training-tasks) | A bidirectional model pre-trained with the masked LM objective but without next sentence prediction.
ltr-no-nsp-ablation | concept | minor | LTR & No NSP (part of effect-of-pre-training-tasks) | A left-context-only model trained with a standard left-to-right language model and no NSP; the closest in-house stand-in for OpenAI GPT.
bilstm-on-top-of-ltr | concept | minor | BiLSTM on top of the LTR model (part of ltr-no-nsp-ablation) | A randomly initialised BiLSTM added above the left-to-right model as a good-faith attempt to supply right-side context; it partly repairs SQuAD but no
effect-of-model-size | concept | minor | Effect of model size (part of ablation-studies) | Models of varying L, H and A are compared; larger is strictly better on all four GLUE tasks tested, including very small ones.
prior-scaling-evidence | concept | minor | Prior mixed evidence on scaling (part of effect-of-model-size) | Two earlier feature-based results that found limited or no downstream benefit from bigger pre-trained models.
few-random-parameters-hypothesis | concept | minor | Why fine-tuning may scale better on small data (part of effect-of-model-size) | The paper hypothesises that because fine-tuning adds very few randomly initialised parameters, task models can exploit large pre-trained representatio
feature-based-approach-with-bert | concept | minor | Feature-based approach with BERT (part of ablation-studies) | Using BERT as a frozen feature extractor rather than fine-tuning it, tested on CoNLL-2003 NER to see how much is lost.
frozen-feature-bilstm-classifier | concept | minor | Two-layer 768-dimensional BiLSTM over frozen features (part of feature-based-approach-with-bert) | In the feature-based setting the extracted embeddings feed a randomly initialised two-layer 768-dimensional BiLSTM before the classification layer.
layer-selection-ablation | concept | minor | Which layers to extract features from (part of feature-based-approach-with-bert) | Feature-based results are compared across choices of which hidden layers to tap, from the last layer alone to concatenations of several.
concat-last-four-layers | concept | minor | Concatenating the top four hidden layers (part of layer-selection-ablation) | The best-performing feature extraction: join each token's vectors from the top four layers into one longer vector.
effect-of-number-of-training-steps | concept | minor | Effect of number of pre-training steps (part of ablation-studies) | MNLI Dev accuracy after fine-tuning from checkpoints pre-trained for k steps, asking whether BERT's full budget is needed.
masking-procedure-ablation | concept | minor | Ablation for different masking procedures (part of ablation-studies) | Varying the probabilities of the three masking strategies, to check whether the 80/10/10 mixture matters.
mask-same-rnd-strategies | concept | minor | MASK, SAME and RND (part of masking-procedure-ablation) | The three things that can happen to a token selected for prediction: replace with [MASK], keep as is, or replace with a random token.
feature-based-amplifies-mask-mismatch | concept | minor | Why the feature-based setting amplifies the mismatch (part of masking-procedure-ablation) | With BERT frozen, the model cannot adapt to the absence of [MASK] at test time, so a masking mismatch shows up more sharply.
dev-set-model-selection | concept | minor floor | Development set and dev-set model selection | The held-out split used for choosing hyperparameters and variants, separate from the test set that reports final numbers.
f1-score | concept | minor floor | F1 score | The harmonic mean of precision and recall, used here as the span-overlap metric for SQuAD and the evaluation metric for NER.
state-of-the-art | concept | minor floor | State of the art | The best published result on a benchmark at the time of writing.
absolute-improvement | concept | minor | Absolute improvement | A gain stated as the arithmetic difference between two scores, in points, rather than as a percentage of the previous score.
lstm | concept | minor floor | LSTM | A recurrent cell with gating, the standard sequence encoder in the work that preceded the Transformer.
bilstm | concept | minor floor | BiLSTM | A recurrent layer run in both directions over a sequence, with the two directions' outputs joined per position.
cloud-tpu | concept | minor floor | Cloud TPU | The accelerator hardware the paper's training costs are quoted against; a Cloud TPU here is four chips.
ensembling | concept | minor floor | Ensembling | Combining several trained models' predictions into one, usually scoring better than any single model.
fig-1 | figure | evidence | The Same Stack, Twice | The figure claims that pre-training and fine-tuning use one and the same network: an identical token-in, vector-out Transformer encoder appears in bot
fig-2 | figure | evidence | The Three-Row Input Sum | Every token BERT reads is a single vector formed by adding three learned vectors together: what the token is, which of the two packed spans it belongs
table-1 | table | evidence | The GLUE test scoreboard | On the eight scored GLUE tasks, both BERT sizes beat every prior system in every column, lifting the average by 4.5 points (BERT_BASE) and 7.0 points 
table-2 | table | evidence | BERT against the SQuAD leaderboard | On SQuAD 1.1 span extraction, a fine-tuned BERT_LARGE ensemble reaches 93.2 test F1 and a single fine-tuned BERT_LARGE reaches 91.8, which the paper r
table-3 | table | evidence | SQuAD 2.0 Leaderboard Comparison | On SQuAD 2.0, where some questions have no answer in the passage, a single fine-tuned BERT_LARGE reaches 83.1 Test F1 against 78.0 for the best prior 
table-4 | table | evidence | The SWAG Commonsense Scoreboard | On SWAG's four-way sentence-completion task, BERT_LARGE reaches 86.3% test accuracy, which the paper reports as +27.1 points over the dataset authors'
table-5 | table | evidence | Pre-training Task Ablation | Holding architecture, data and fine-tuning fixed, the table charges each drop in score to one removed piece of the pre-training recipe. Dropping next 
table-6 | table | evidence | The Model-Size Ladder | Six separately pre-trained BERT models, from 3 layers up to 24, are lined up smallest to largest: held-out masked-LM perplexity falls at every step (5
table-7 | table | evidence | Fine-tuned versus frozen BERT on NER | On CoNLL-2003 named entity recognition, BERT scores close to the best published systems when fine-tuned, and — the point of the table — nearly as well
fig-3 | figure | evidence | BERT, GPT and ELMo Side by Side | The figure states the paper's central architectural claim as arrows: only BERT lets every position depend on both its left and its right neighbours at
fig-4 | figure | evidence | Four task shapes, one encoder | Four families of downstream task are drawn as four copies of the same diagram, differing only in what is packed into the input sequence and which outp
fig-5 | figure | evidence | MLM vs. Left-to-Right Over a Million Steps | Fine-tuning from progressively later pre-training checkpoints shows that MNLI accuracy is still climbing at 1,000,000 steps, so BERT's long pre-traini
table-8 | table | evidence | The masking mixture ablation | Six BERT pre-training runs that differ only in what happens to a token once it has been selected for prediction. Changing the mixture barely moves the
eq-classification-loss | equation | evidence | The GLUE Classification Head | This inline expression is the whole task-specific model BERT adds for a GLUE sentence-classification task: take the final hidden vector at the [CLS] p
eq-span-start-probability | equation | evidence | The start-position softmax | This is the whole task-specific output layer BERT adds for extractive question answering: one learned vector $S$ is dotted with each passage token's f
eq-span-score | equation | evidence | The additive span score | A candidate answer running from token $i$ to token $j$ is scored by adding its start score $S{\cdot}T_i$ to its end score $E{\cdot}T_j$, and the predi
eq-null-answer-threshold | equation | evidence | The Null-Answer Threshold Rule | This is the prediction-time rule BERT uses on SQuAD 2.0, where a question may have no answer. It scores "no answer" as an ordinary span that starts an
