# id | kind | tier | name | summary
arabic-script-feature | concept | major | Arabic Script Feature (A/1/3450) | The paper's lead case study: a learned feature that fires on text in Arabic script, is specific and reasonably sensitive to it, and has no neuron coun
information-based-metric | concept | minor | The Information-Based Metric That Failed (part of evaluating-dictionary-learning) | An attempt to score factorizations by the total information of autoencoder plus data. It did not correlate with what the paper cared about.
l0-nll-tradeoff | concept | minor | Sparsity vs. Explained Behavior Tradeoff (part of evaluating-dictionary-learning) | Plotting $L^0$ norm against reconstructed transformer NLL across runs gives a frontier the paper uses to choose the L1 coefficient.
l0-norm | concept | minor | $L^0$ Norm (part of evaluating-dictionary-learning) | The average number of features active on a token. This is the paper's direct measure of how sparse the decomposition actually is.
manual-inspection | concept | minor | Manual Inspection (part of evaluating-dictionary-learning) | Looking at features and asking whether they seem interpretable. Slow and subjective, but the paper treats it as the ground truth the proxies stand in 
toy-model-ground-truth | concept | minor | Toy Models as Ground Truth (part of evaluating-dictionary-learning) | Small synthetic setups where the true features are known by construction, used to check that the autoencoder recovers what it should.
training-loss-metric | concept | minor | Training Loss as a Proxy (part of evaluating-dictionary-learning) | The simplest signal, useful for comparing optimizers and learning rates but meaningless across runs with different L1 coefficients.
features-invisible-in-the-neuron-basis | concept | minor | Features invisible in the neuron basis (part of feature) | Learned features with no counterpart among the neurons — not showing up in the top dataset examples of any neuron.
good-decomposition-desiderata | concept | minor | What makes a good decomposition (part of feature) | Three criteria a feature decomposition must meet to be useful: interpretable activation conditions, interpretable and consistent downstream effects, a
linear-feature-decomposition | concept | minor | Features as a linear decomposition (part of feature) | Writing each activation vector as a bias plus a sparse weighted sum of unit-vector feature directions — an ordinary linear matrix factorization of the
linear-representation-hypothesis | concept | minor | Linear representation hypothesis (part of feature) | The claim that networks represent meaningful properties as directions in activation space, so that interpretable concepts are linear functions of acti
privileged-basis | concept | minor | Privileged basis (part of feature) | A basis that the architecture singles out — here the neuron basis, made special by the elementwise activation function — so that features have some te
ablation-effect-visualization | concept | minor | Reading the Ablation Display (part of feature-ablation) | The display convention: orange background marks where a feature is active, and colored underlines mark tokens whose prediction the feature helped or h
directional-ablation | concept | minor | Directional Rather Than Wholesale Removal (part of feature-ablation) | Only the component along the feature's dictionary vector is removed, leaving every other feature's contribution to that activation intact.
density-cluster-separation | concept | minor | Separating the Density Clusters (part of feature-density) | When density alone does not separate the two clusters, adding the feature's bias and its encoder-decoder dot product does.
feature-density-diagnostics | concept | minor | Feature Density Diagnostics (part of feature-density) | Three specific numbers read off the feature density histograms and used to judge a run: live features outside the ultralow cluster, where the non-ultr
high-density-cluster | concept | minor | High Density Cluster (part of feature-density) | The right mode of the density histogram, whose features are anecdotally almost all interpretable despite still being very rare in absolute terms.
ultralow-density-cluster | concept | minor | Ultralow Density Cluster (part of feature-density) | A left mode of features firing on fewer than about one in a million tokens, almost none of which are interpretable; the paper treats them as a trainin
downstream-effects-outside-dictionary-learning | concept | minor | Downstream Effects Are Not An Input To Dictionary Learning (part of feature-downstream-effects) | The structural argument that because the autoencoder only sees MLP activations, interpretable downstream effects cannot be an artifact of the training
feature-ablation | concept | minor | Feature Ablation (part of feature-downstream-effects) | Subtracting a feature's contribution from the MLP activations and finishing the forward pass, to see which token predictions depended on it.
logit-weight | concept | minor | Logit Weight (part of feature-downstream-effects) | The vector, one entry per vocabulary token, giving how much a feature's firing pushes up or down each next-token logit.
pinned-feature-sampling | concept | minor | Pinned Feature Sampling (part of feature-downstream-effects) | Fixing a feature's activation at a high value and then sampling from the model, to see whether the generated text matches the feature's interpretation
activation-sensitivity | concept | minor | Activation Sensitivity (part of feature-evidence-template) | Whether the feature is on whenever the hypothesized context is present. The paper finds sensitivity is imperfect and often patched by other features.
activation-specificity | concept | minor | Activation Specificity (part of feature-evidence-template) | Whether a feature being on implies the hypothesized context is present. The paper treats this as the more important half of the case against polyseman
base64-feature | concept | major | Base64 Feature (A/1/2357) (part of feature-evidence-template) | A feature firing on base64 strings, of interest because a base64 neuron had already been found in a different model with a different architecture.
cherry-picked-case-studies | concept | minor | Cherry-Picked Case Studies (part of feature-evidence-template) | The paper's own statement that the four detailed features were chosen because they are easy to analyze, not because they are typical.
dna-feature | concept | major | DNA Feature (A/1/2937) (part of feature-evidence-template) | A feature firing on long uppercase strings of A, T, C and G. Unlike the Arabic case it appears to be the only feature devoted to this context.
feature-downstream-effects | concept | major | Feature Downstream Effects (part of feature-evidence-template) | Evidence that a feature causally changes the model's predictions in a way that matches its interpretation, measured three ways: logit weights, ablatio
feature-neuron-nonalignment | concept | minor | The Feature Is Not A Neuron (part of feature-evidence-template) | The check that dictionary learning did not simply hand back an already-monosemantic neuron under a new name.
feature-universality | concept | minor | Feature Universality (part of feature-evidence-template) | Whether the same feature is found again by dictionary learning applied to a separately trained model, taken as evidence the feature is a general fact 
hebrew-feature | concept | major | Hebrew Feature (A/1/416) (part of feature-evidence-template) | A feature firing on Hebrew script, with high specificity in the upper activation spectrum and weak activations on other Unicode-script languages.
activation-visualization-sampling | concept | minor | Activation Visualization Sampling (part of feature-exploration-interface) | The dataset examples shown in the interface come from a 100-million-token subset with only 10 tokens taken per context, displayed with four tokens of 
data-oriented-interface | concept | minor | Data-Oriented Interface (part of feature-exploration-interface) | A second view that inverts the first: pick a text, see every feature active on it.
rubric-effect-size-separation | concept | minor | Effect-Size Separation Item (part of feature-interpretability-rubric) | A one-point item awarded when inconsistent positive logit effects are at least clearly smaller than the consistent ones.
rubric-interpretation-first | concept | minor | Interpretation Before Scoring (part of feature-interpretability-rubric) | The rater commits to an interpretation first, then scores the evidence against it — rather than scoring interpretability in the abstract.
action-features | concept | minor | Features as actions (part of feature-motifs) | The dual reading of every feature in a one-layer model: it both responds to something and acts to raise the probability of something.
context-features | concept | minor | Context features (part of feature-motifs) | Features that fire across a whole region of text of a certain kind — DNA sequences, base64 strings, a particular language — rather than on one token t
finite-state-automata-features | concept | minor | Finite state automata (part of feature-motifs) | Assemblies of features where one feature raises the probability of tokens that in turn cause another feature to fire on the next step, forming a state
memorization-features | concept | minor | Sequence-memorizing features (part of feature-motifs) | Features that respond to a specific long phrase and appear to reproduce it, visible only in large dictionaries.
phenomenology | concept | minor | Phenomenology (part of feature-motifs) | The paper's name for using the feature decomposition to reason about properties of the model, by analogy to phenomenology in physics.
token-in-context-features | concept | minor | Token-in-context features (part of feature-motifs) | Features that fire on one specific token but only in a particular kind of context — 'the' in mathematics, '<' in HTML.
trigram-features | concept | minor | Trigram features (part of feature-motifs) | Features that implement short fixed continuations, such as predicting '19' after 'COVID-'.
feature-neuron-scatter-plots | concept | minor | Feature-Neuron Scatter Plots and Marginals (part of feature-neuron-nonalignment) | Plotting a feature's activations or logit weights against a neuron's, and reading the two marginal distributions to see which axis separates the conte
most-correlated-neuron | concept | minor | Most Correlated Neuron (part of feature-neuron-nonalignment) | The neuron whose activations correlate most with a feature's, over roughly 40 million dataset examples — the paper's preferred way to look for a neuro
mutually-exclusive-features-in-superposition | concept | minor | Mutually Exclusive Features Are Natural To Superpose (part of feature-neuron-nonalignment) | The paper's explanation for why the neuron most correlated with the Arabic feature responds to a mixture of different languages.
neuron-basis-coefficients | concept | minor | Feature Coefficients in the Neuron Basis (part of feature-neuron-nonalignment) | Reading off how much each neuron contributes to a feature's direction, to see whether the feature is essentially one neuron.
top-dataset-example-search | concept | minor | Searching Neurons by Top Dataset Examples (part of feature-neuron-nonalignment) | Scanning every neuron's top-activating examples for the target context, as a cross-check that no neuron encodes it.
dictionary-learning-run | concept | minor | Dictionary Learning Run (part of feature-notation) | One trained autoencoder, identified by its number in the feature notation. Runs vary in dictionary size and L1 coefficient.
neuron-notation | concept | minor | Neuron Notation (part of feature-notation) | "A/neurons/32" names a transformer MLP neuron rather than a learned feature, so the two can be compared without ambiguity.
dictionary-resolution | concept | minor | Dictionaries as resolutions (part of feature-splitting) | The idea that different autoencoder sizes are different zoom levels on the same underlying structure, with small dictionaries giving useful summaries.
feature-geometry-clusters | concept | minor | Geometric clustering of feature directions (part of feature-splitting) | Conceptually similar features have small angles between their dictionary vectors, so qualitative families show up as tight clusters in a 2-D projectio
feature-umap | concept | minor | Feature UMAPs (part of feature-splitting) | A 2-D projection of feature directions, used to make the geometry of a dictionary browsable and to show that qualitative families are geometric cluste
local-vs-compositional-codes | concept | minor | Local versus compositional codes (part of feature-splitting) | Two ways to represent a combination of properties: one unit per combination (local), or separate units that combine (compositional).
masked-cosine-similarity | concept | minor | Masked cosine similarity (part of feature-splitting) | A measure the paper defines for linking a feature in one dictionary to its relatives in another, computed only over tokens where at least one of the t
multiple-features-for-one-context | concept | minor | Multiple features for one context (part of feature-splitting) | The converse apparent bug: several features covering what looks like the same concept, which turn out to make finer distinctions when examined.
splitting-is-not-a-tree | concept | minor | Splitting is not a tree (part of feature-splitting) | Features at one dictionary size can both split and merge to form the features at the next, so the refinement structure is a general graph rather than 
true-features | concept | minor | True features (part of feature-splitting) | The features a model actually uses, as opposed to the ones a given dictionary happens to learn. The paper argues a small model has fewer of them.
hdbscan-feature-clustering | concept | minor | HDBSCAN Clustering of Features (part of feature-umap) | Clusters shown on the first UMAP come from running HDBSCAN on a separate 10-dimensional UMAP embedding of the same features.
one-dimensional-umap-ordering | concept | minor | One-Dimensional Ordering of Features (part of feature-umap) | The feature list is sorted by a one-dimensional UMAP fit to the unclustered features together with the cluster medoids.
umap | concept | minor | UMAP (part of feature-umap) | A dimensionality reduction method that places high-dimensional points in two dimensions while trying to preserve local neighborhood structure.
html-feature-automaton | concept | minor | The four-node HTML system (part of finite-state-automata-features) | Four A/0 features that hand off to each other to generate valid HTML: open tag, tag name, tag close, whitespace, and back to open tag.
mechanistic-anomaly-detection | concept | minor | Mechanistic anomaly detection (part of finite-state-automata-features) | The idea of noticing when a model's internal mechanism behaves differently in a specific narrow case.
self-exciting-feature-loop | concept | minor | Single-node loop (part of finite-state-automata-features) | The simplest case: a feature that increases the probability of tokens which would themselves activate it again.
unicode-token-state-machines | concept | minor | Two-node systems from split Unicode characters (part of finite-state-automata-features) | Where a script's characters are tokenized as a prefix byte plus a suffix byte, the model alternates between a prefix feature and a suffix feature.
explaining-the-mlp-layer | concept | minor | Explaining a large fraction of the layer (part of good-decomposition-desiderata) | The third criterion: the features must account for a significant portion of the MLP layer's functionality, measured by loss rather than by reconstruct
interpretable-activation-conditions | concept | minor | Interpretable activation conditions (part of good-decomposition-desiderata) | The first criterion: you can describe which datapoints make a feature fire, and that description holds up on diverse data including off-distribution o
interpretable-downstream-effects | concept | minor | Interpretable downstream effects (part of good-decomposition-desiderata) | The second criterion: you can interpret what changing a feature's value does to subsequent layers, and that effect is consistent with the interpretati
recognizing-good-features | concept | minor | How can we recognize good features? (part of good-decomposition-desiderata) | The authors' admission that they have no systematic way to tell whether a dictionary learning run has extracted high-quality features.
uses-of-a-feature-decomposition | concept | minor | What a good decomposition would let you do (part of good-decomposition-desiderata) | The concrete affordances the paper claims follow from meeting the three criteria: attribution, monitoring, steering, and input design.
hebrew-continuation-feature | concept | minor | Hebrew Continuation Feature (A/1/1016) (part of hebrew-feature) | A feature that fires on the \xd7 byte and predicts the bytes completing a Hebrew character's codepoint.
importance-scoring-degeneracy | concept | minor | Why Importance Scoring Collapses Feature Scores (part of importance-scoring) | Because feature densities are around 1e-3 to 1e-6, nearly all the weight lands on random examples where the feature never fires, so predicting zero ev
interpretability-importance-caveat | concept | minor | Caveat: Uniform Sampling Ignores Importance (part of interpretability-evaluation-caveats) | Features were sampled uniformly from all features, but interpretability might correlate with how important a feature is.
low-interval-activation-skew | concept | minor | Caveat: Activations Are Skewed Toward Low Intervals (part of interpretability-evaluation-caveats) | Most actual feature activations are small, so they fall in exactly the intervals that score worst.
causality-generality-purity | concept | minor | Causality, generality, purity (part of interpretable-activation-conditions) | An earlier trio of desiderata for claiming a component detects something, cited as a worked example of how to make interpretable activation conditions
l1-coefficient | concept | minor | L1 Coefficient $\lambda$ (part of l1-sparsity-penalty) | The scalar weighting the sparsity penalty against reconstruction error. It is one of the two hyperparameters the paper varies across dictionary learni
feature-activation | concept | minor | Feature activation (part of linear-feature-decomposition) | The scalar $f_i(\mathbf{x})$ giving how strongly feature $i$ fires on a datapoint; in the autoencoder it is the ReLU hidden-layer value.
feature-direction | concept | minor | Feature direction (part of linear-feature-decomposition) | The unit vector $\mathbf{d}_i$ in activation space along which feature $i$ writes when it fires; in the autoencoder these are the columns of the decod
othello-linear-representation-debate | concept | minor | The linear-representation exchange (part of linear-representation-hypothesis) | An exchange in which one paper found an apparent counterexample to features-as-directions and a second resolved it by finding an alternative, linear i
word-vector-arithmetic | concept | minor | Vector arithmetic in word embeddings (part of linear-representation-hypothesis) | The classic observation that relationships between words correspond to consistent offsets between their embedding vectors.
are-token-in-context-features-real | concept | minor | Are token-in-context features real? (part of local-vs-compositional-codes) | Whether the hundreds of 'the'-in-a-context features reflect the transformer's own local code, or an artifact of dictionary learning imposing one.
compositional-code | concept | minor | Compositional code (part of local-vs-compositional-codes) | A representation where independent units combine to represent a conjunction — 'the' and 'Physics' active together.
local-code | concept | minor | Local code (part of local-vs-compositional-codes) | A representation with one dedicated unit per thing represented, including per combination of properties.
anomalous-token-exclusion | concept | minor | Excluding Anomalous Tokens (part of logit-weight) | Logit weights for extremely rare or never-used vocabulary elements are dropped from the plots.
direct-path | concept | minor | Direct path (part of logit-weight) | The route from token embedding straight to the unembedding, bypassing attention and the MLP.
layer-norm-linearization | concept | minor | Linearizing Layer Norm (part of logit-weight) | Approximating layer norm as a fixed projection removing the mean plus a diagonal scaling matrix, so a feature's path to the logits stays linear.
logit-weight-caveats | concept | minor | Ways Logit Weights Could Mislead (part of logit-weight) | Three stated ways the linear logit weight could overstate a feature's real influence on the model.
logit-weight-median-centering | concept | minor | Median-Centering the Logit Weights (part of logit-weight) | Because softmax is shift-invariant, logit weights have no absolute scale; the paper shifts each feature's weights so its median is zero.
logit-weight-second-mode | concept | minor | The Second Mode in Logit Weights (part of logit-weight) | The recurring finding that a feature's logit weight histogram has a large mode at zero plus a small, far-right mode of tokens specific to the feature'
mlp-output-weights | concept | minor floor | MLP output weights (part of logit-weight) | The matrix $W_{down}$ that maps MLP activations back into the residual stream.
path-expansion-logit-attribution | concept | minor | Path Expansion / Logit Attribution (part of logit-weight) | The technique of tracing a single linear path from an internal direction all the way to the logits, taken from the transformer circuits framework.
unembedding-matrix | concept | minor floor | Unembedding matrix (part of logit-weight) | The final linear map from the residual stream to one logit per vocabulary token.
weight-interference | concept | minor | Weight Interference (part of logit-weight) | The paper's hypothesis that the large central mode of near-zero logit weights is unwanted noise forced by superposition, not deliberate behavior.
logit-weight-disagreement | concept | minor | When logit weights disagree but features match (part of logit-weight-similarity) | The extreme case: two features with activation correlation 0.98 and a negative logit weight correlation that are nonetheless doing the same job.
explanation-based-loss-measure | concept | minor | Explanation-Based Loss Measurement (part of loss-recovered-by-features) | A proposed better measure — replacing activations with those predicted from natural-language explanations — that the paper judges computationally impr
