MERGE BRIEF - monosemanticity
299 concepts from 3 extractors (experiments, framing, method); 288 distinct ids; 91 currently major; 9 at the floor.

Every id below already exists. The apply step unions duplicates, carries
sectionIds and prerequisites across, and writes the file. You decide only
what is listed at the end.

======================================================================
ALL CONCEPTS  (id | tier | floor | parent | sections | from | name - summary)
algorithmic-improvements-for-sparse-autoencoders | minor | | parent=sparse-autoencoder | §7.3 | framing | Algorithmic alternatives to the plain L1 autoencoder - Candidate refinements listed as future work: variational autoencoders, sparsity priors beyond L1, and noise injection.
amortized-sparse-coding-approximation | major | | parent=sparse-autoencoder | §18,18.2 | method | Encoder as Amortized Sparse Coding - The framing that the encoder is a single-shot linear stand-in for a multi-step, non-linear sparse coding algorithm.
anomalous-token-exclusion | minor | | parent=logit-weight | §3.1.3 | experiments | Excluding Anomalous Tokens - Logit weights for extremely rare or never-used vocabulary elements are dropped from the plots.
arabic-script-feature | major | | parent=- | §3.1,3.1.1,3.1.2,3.1.3,3.1.4,3.1.5 | experiments | Arabic Script Feature (A/1/3450) - The paper's lead case study: a learned feature that fires on text in Arabic script, is specific and reasonably sensitive to it, and has no neuron coun
arabic-script-proxy | minor | | parent=computational-proxy | §3.1.1,3.1.2 | experiments | Arabic Script Proxy - The per-token score $\log(P(s|\text{Arabic Script}) / P(s))$, built from the Arabic Unicode blocks.
architectural-approaches-to-superposition | major | | parent=- | §2.3,6.2 | framing | Architectural approaches, and why they were abandoned - The attempt to build models that simply do not have superposition, which the authors conclude is not merely costly but fundamentally non-viable for la
are-token-in-context-features-real | major | | parent=local-vs-compositional-codes | §7.2 | framing | Are token-in-context features real? - Whether the hundreds of 'the'-in-a-context features reflect the transformer's own local code, or an artifact of dictionary learning imposing one.
attentional-superposition | minor | | parent=superposition | §7.3 | framing | Attentional superposition - The open question of whether attention layers also use superposition, and whether similar methods would extract features from them.
attribution-similarity | major | | parent=universality | §5.3.1,7.3 | framing | Attribution similarity - A third comparison measure that weights a feature's logit effects by whether the feature was actually active and the token actually came next.
attribution-vector | minor | | parent=attribution-similarity | §5.3.1 | framing | Attribution vector - For each sampled datapoint, the product of a feature's activation there and its logit weight on the token that actually came next.
autoencoder-encoder | minor | | parent=sparse-autoencoder | §18 | method | Encoder - The linear map plus bias plus ReLU that turns an activation vector into feature activations: $\mathbf{f} = \text{ReLU}(W_e\bar{\mathbf{x}} + \mathbf{b
autoencoder-training-dataset | major | | parent=- | §17,2.5 | method | Autoencoder Training Dataset - Roughly 10 billion MLP activation vectors harvested from the transformer over 40 million Pile contexts, of which just over 8 billion are used.
autoencoder-width-limitation | minor | | parent=weak-activation-hypotheses | §3.1.1 | experiments | Hypothesis 3: The Autoencoder Is Imperfect - If the dictionary is narrower than the number of true features, the missing features may show up smeared as weak activations across many learned ones.
automated-interpretability | major | | parent=- | §1,22,22.1,4.1.2,4.1.3,6.3 | experiments+framing | Automated Interpretability - Having a language model write an explanation of a feature from examples where it activates, then use that explanation alone to predict the feature's a
automated-logit-scoring | major | | parent=automated-interpretability | §22.1,4.1.3 | experiments | Automated Interpretability on Logit Weights - Asking Claude, from the feature's explanation alone, whether an unseen high-logit token is one the feature should predict; features score 74% versus 5
base64-digit-feature | minor | | parent=base64-feature | §3.3 | experiments | Base64 Digit Feature and the BPE Exploit - A companion feature that fires on single digits inside base64 contexts, exploiting a property of the BPE tokenizer to make a better prediction.
base64-feature | major | | parent=- | §3.3,3.3.1,3.3.2 | experiments | Base64 Feature (A/1/2357) - A feature firing on base64 strings, of interest because a base64 neuron had already been found in a different model with a different architecture.
base64-feature-family | minor | | parent=multiple-features-for-one-context | §5.2.2 | framing | The three base64 features - A/1/2357 fires preferentially on letters in base64, A/1/2364 on digits, and A/1/1544 on base64 that decodes to ASCII text — jointly covering the singl
base64-proxy | minor | | parent=computational-proxy | §3.3 | experiments | Base64 Proxy - A score modeling base64 strings as random sequences over [a-zA-Z0-9+/]; the paper judges it too broad.
blinded-annotation | minor | | parent=manual-interpretability-scoring | §4.1.1 | experiments | Blinded Annotation - The annotator scored features and neurons without knowing which kind of unit was being shown.
bounce-plots | minor | | parent=pre-encoder-bias | §18.1 | method | Bounce Plots - A toy-model diagnostic the paper uses to check whether the autoencoder is behaving correctly. Failure to produce them is what motivated adding biases.
calibrated-feature-activations | minor | | parent=weak-activation-hypotheses | §3.1.1 | experiments | Hypothesis 2: The Model Is Imperfect But Calibrated - If features activate in proportion to the model's confidence that a property holds, weak activations should sometimes be wrong.
causality-generality-purity | minor | | parent=interpretable-activation-conditions | §2.2 | framing | Causality, generality, purity - An earlier trio of desiderata for claiming a component detects something, cited as a worked example of how to make interpretable activation conditions
character-distribution-proxy | minor | | parent=feature-proxies | §12.2 | method | Character-Distribution Proxies - For features about character sets like base64 or DNA, the conditional probability is modeled as a uniform draw over the allowed characters.
cherry-picked-case-studies | minor | | parent=feature-evidence-template | §3 | experiments | Cherry-Picked Case Studies - The paper's own statement that the four detailed features were chosen because they are easy to analyze, not because they are typical.
circuit | minor | | parent=mechanistic-interpretability | §5.4,front | framing | Circuit - A subgraph of a network's computation — a set of components connected by weights — that implements some identifiable behavior.
classic-polysemantic-neuron-examples | minor | | parent=- | §3 | experiments | Classic Examples of Polysemanticity - The concrete examples the paper offers of what polysemanticity looks like: a neuron mixing citations, dialogue, HTTP requests and Korean, and the visi
classical-dictionary-learning-algorithms | minor | | parent=sparse-dictionary-learning | §2.4 | method | Classical Dictionary Learning Algorithms - Established iterative methods such as Method of Optimal Directions and K-SVD. The paper tried several and set them aside.
complementary-arabic-features | minor | | parent=arabic-script-feature | §3.1.2 | experiments | Complementary Arabic Features - The other features that fire in Arabic contexts and fill the gaps in A/1/3450's sensitivity.
compositional-code | minor | | parent=local-vs-compositional-codes | §7.2 | framing | Compositional code - A representation where independent units combine to represent a conjunction — 'the' and 'Physics' active together.
compressed-sensing | major | | parent=sparse-dictionary-learning | §2.4 | method | Compressed Sensing - The problem of recovering a sparse high-dimensional vector from a low-dimensional linear measurement of it. The paper names this as the hard inner pro
computational-proxy | major | | parent=- | §12,3,3.1.1,3.2.1,3.3,3.4 | experiments | Computational Proxy - A cheaply computable numerical score estimating how likely a string is to come from a hypothesized context, used as an independent yardstick against w
constant-prediction-zero-score | minor | | parent=automated-interpretability | §4.1.2 | experiments | Constant Predictions Score Zero - When Claude predicts the same value for everything — usually all zeros — no correlation exists, and the paper assigns a score of zero.
context-features | major | | parent=feature-motifs | §5.1,5.2 | framing | Context features - Features that fire across a whole region of text of a certain kind — DNA sequences, base64 strings, a particular language — rather than on one token t
correct-number-of-features | minor | | parent=theories-of-superposition | §5.2,7.1 | framing | Is there a correct number of features? - Under some expanded theories the question is not well posed; under others there is a true number but getting it exactly right is not essential.
correlated-features | minor | | parent=theories-of-superposition | §5.2,7.1 | framing | Correlated features - Features that tend to fire together, offered as one explanation for why feature directions clump.
cross-dictionary-mcs | minor | | parent=feature-density | §15 | experiments | Cross-Dictionary Mean Max Cosine Similarity - A measure of how well features from two separately trained dictionaries match up, reported elsewhere as bimodal; the paper suspects density bimodality
cross-entropy-favors-polysemanticity | minor | | parent=polysemanticity-without-superposition | §2.3 | framing | The four-feature loss calculation - A toy calculation showing a single binary neuron gets lower cross-entropy loss by firing on two features ambiguously than on one feature cleanly.
cunningham-et-al-parallel-work | minor | | parent=dictionary-learning | §6.3,7.3,front | framing | Parallel sparse autoencoder investigation - An independent line of interim reports and a manuscript investigating the same sparse autoencoder approach, prompted by Toy Models.
curse-of-dimensionality-in-interpretability | minor | | parent=mechanistic-interpretability | §2 | framing | Curse of dimensionality in interpretability - As models grow, the volume of internal-state space that has to be interpreted grows exponentially, so the space cannot be searched or enumerated unles
data-oriented-interface | minor | | parent=feature-exploration-interface | §2.8 | method | Data-Oriented Interface - A second view that inverts the first: pick a text, see every feature active on it.
de-facto-dead-neurons | minor | | parent=dead-neurons | §18.3 | method | De Facto Dead Neurons - Ultralow density neurons that fire so rarely they are effectively dead, but do not register as dead by a zero-activity check.
dead-features | minor | | parent=feature-density | §15,4,8 | experiments+framing | Dead Features - Autoencoder features that never activate on any dataset example; 168 of A/1's 4,096, excluded from analysis.
dead-neurons | major | | parent=neuron-resampling | §18.3,2.5 | method | Dead Neurons - Autoencoder hidden units with zero activation across a large number of datapoints. They waste dictionary capacity, so the paper resamples them.
density-cluster-separation | minor | | parent=feature-density | §15 | experiments | Separating the Density Clusters - When density alone does not separate the two clusters, adding the feature's bias and its encoder-decoder dot product does.
dictionary-decoder | major | | parent=sparse-autoencoder | §13,18,21 | method | Decoder as Dictionary - The output weight matrix $W_d$, whose columns are the feature directions. The paper uses "decoder" and "dictionary" interchangeably.
dictionary-learning | major | | parent=- | §2.1,2.1.1,6.3,front | framing | Dictionary learning - The classic problem of finding a set of basis vectors (a dictionary) such that each datapoint is a sparse weighted combination of them.
dictionary-learning-run | minor | | parent=feature-notation | §2.7,2.8,21 | method | Dictionary Learning Run - One trained autoencoder, identified by its number in the feature notation. Runs vary in dictionary size and L1 coefficient.
dictionary-resolution | minor | | parent=feature-splitting | §1,5.2,5.2.2,7.1 | framing | Dictionaries as resolutions - The idea that different autoencoder sizes are different zoom levels on the same underlying structure, with small dictionaries giving useful summaries.
dictionary-run-labels | minor | | parent=sparse-autoencoder | §5.2,5.4,front | framing | Run and feature naming (A/1/2357) - The paper's notation: a letter for the transformer, a number for the dictionary size, and a third number for the feature index.
direct-path | minor | | parent=logit-weights | §5.3.1 | framing | Direct path - The route from token embedding straight to the unembedding, bypassing attention and the MLP.
directional-ablation | minor | | parent=feature-ablation | §13 | method | Directional Rather Than Wholesale Removal - Only the component along the feature's dictionary vector is removed, leaving every other feature's contribution to that activation intact.
disentanglement | major | | parent=- | §6.2,front | framing | Disentanglement - A related literature seeking representations whose dimensions separate conceptually distinct factors influencing the data — typically as many factors 
disentanglement-vs-superposition | minor | | parent=disentanglement | §6.2 | framing | Why disentangling can make things worse - The paper's claim that pushing a model to disentangle its dimensions typically hurts performance, and that models respond by entangling some features 
dna-feature | major | | parent=- | §3.2,3.2.1,3.2.2,3.2.3,3.2.4 | experiments | DNA Feature (A/1/2937) - A feature firing on long uppercase strings of A, T, C and G. Unlike the Arabic case it appears to be the only feature devoted to this context.
dna-proxy | minor | | parent=computational-proxy | §3.2,3.2.1 | experiments | DNA Proxy - A score for "is a DNA sequence", modeling DNA as random strings over [ATCG] and evaluated on groups of at least two tokens.
downstream-effects-outside-dictionary-learning | minor | | parent=feature-downstream-effects | §3.1.3,4.3 | experiments | Downstream Effects Are Not An Input To Dictionary Learning - The structural argument that because the autoencoder only sees MLP activations, interpretable downstream effects cannot be an artifact of the training
encoder-decoder-offset-crosstalk | minor | | parent=untied-decoder-weights | §18.2 | method | Encoder Tilt Against Crosstalk - The paper's account of why untying helps: features with similar dictionary vectors get encoder vectors tilted away from each other, so they can be tol
engineering-monosemanticity | minor | | parent=architectural-approaches-to-superposition | §2.3,6.2 | framing | Engineering monosemanticity in toy models - Prior work finding multiple equal-loss minima in MLPs trained on a compressed sensing task, some polysemantic and some monosemantic.
evaluating-dictionary-learning | major | | parent=- | §19,2.5.1 | method | Telling Whether the Autoencoder Is Working - The paper has no single metric that tracks what it cares about, and instead triangulates from several imperfect signals.
expansion-factor | minor | | parent=sparse-autoencoder | §18,19,2,2.6,2.7,5.2 | framing+method | Expansion factor - The ratio of learned features to input dimensions — 1× is 512 features, 256× is 131,072.
expected-value-plot | minor | | parent=activation-specificity | §3.1.1,4.1.5 | experiments | Expected Value Plot - An activation histogram weighted by activation magnitude, so that the picture reflects how much effect a feature actually has rather than how many tok
explaining-the-mlp-layer | minor | | parent=good-decomposition-desiderata | §2.2 | framing | Explaining a large fraction of the layer - The third criterion: the features must account for a significant portion of the MLP layer's functionality, measured by loss rather than by reconstruct
explanation-based-loss-measure | minor | | parent=loss-recovered-by-features | §4.2 | experiments | Explanation-Based Loss Measurement - A proposed better measure — replacing activations with those predicted from natural-language explanations — that the paper judges computationally impr
explanation-generation-setup | minor | | parent=automated-interpretability | §22.1 | experiments | Explanation Generation Setup - The exact prompt composition used to get a feature explanation out of Claude 2: 49 examples of specified kinds, plus logits, interval labels, and eigh
explanation-length-caveat | minor | | parent=automated-interpretability | §22.4 | experiments | Explanation Lengths Caveat - Claude sometimes fails to wrap its explanation in answer tags, so the full chain of thought is used instead — a null result, since it does not change 
extended-training-steps | minor | | parent=sparse-autoencoder | §17,18,18.3 | method | Training Past the Loss Plateau - The paper keeps training well beyond the point where training loss appears flat, listing 'many training steps' among its important modifications.
external-replication | minor | | parent=sparse-autoencoder | §8 | framing | External replication and commentary - Invited outside researchers commented on the work before publication; one trained his own sparse autoencoder on a different open source one-layer mode
factors-of-variation | minor | | parent=disentanglement | §6.2 | framing | Factors of variation - The conceptually distinct influences on the data that a disentangled representation is supposed to separate into independent dimensions.
feature | major | | parent=- | §2.1,2.1.1,7.1,front | framing | Feature - A basic interpretable direction in activation space — the unit the paper wants to decompose models into, in place of neurons.
feature-ablation | major | | parent=feature-downstream-effects | §13,2.8,3.1.3,3.2.1,4.3,5.3.1 | experiments+framing+method | Feature Ablation - Zeroing one feature's activation across an entire context and recording how the model's predicted log-likelihood of each token changes.
feature-activation | minor | | parent=linear-feature-decomposition | §2.1,5.3.1,7.1 | framing | Feature activation - The scalar $f_i(\mathbf{x})$ giving how strongly feature $i$ fires on a datapoint; in the autoencoder it is the ReLU hidden-layer value.
feature-activation-distribution-plot | minor | | parent=activation-specificity | §3.1.1,3.2.1,3.3,3.4 | experiments | Feature Activation Distribution Broken Down by Proxy - A histogram of a feature's activations with each bar colored by whether the proxy fires, used as the paper's basic specificity picture.
feature-at-slight-angle | minor | | parent=activation-interval-analysis | §4.1.4 | experiments | Features At A Slight Angle - The paper's suggested explanation for the drop-off in low-interval interpretability: a learned direction slightly off from the true feature direction.
feature-density | major | | parent=- | §15,4 | experiments | Feature Density - The fraction of tokens on which a feature has a nonzero value; the paper's main quick proxy for autoencoder quality.
feature-density-diagnostics | minor | | parent=evaluating-dictionary-learning | §19,2.5.1 | method | Feature Density Diagnostics - Three specific numbers read off the feature density histograms and used to judge a run: live features outside the ultralow cluster, where the non-ultr
feature-density-histogram | minor | | parent=feature-density | §15 | experiments | Feature Density Histogram - A log-scale histogram of all features' densities, typically bimodal, used to diagnose an autoencoder run at a glance.
feature-direction | minor | | parent=linear-feature-decomposition | §2.1,5.2,7.1 | framing | Feature direction - The unit vector $\mathbf{d}_i$ in activation space along which feature $i$ writes when it fires; in the autoencoder these are the columns of the decod
feature-downstream-effects | major | | parent=feature-evidence-template | §3,3.1.3,3.2.2,4.3 | experiments | Feature Downstream Effects - Evidence that a feature causally changes the model's predictions in a way that matches its interpretation, measured three ways: logit weights, ablatio
feature-evidence-template | major | | parent=- | §3,3.1,3.2,3.3,3.4 | experiments | The Five-Claim Feature Template - The fixed set of five claims the paper tries to establish for each individual feature it studies in depth: specificity, sensitivity, downstream effect
feature-exploration-interface | major | | parent=- | §2.8 | method | Feature Exploration Interface - A published visualization covering every feature in every dictionary learning run, showing when a feature fires, what it does to the logits, and what 
feature-geometry-clusters | minor | | parent=feature-splitting | §5.2,7.1 | framing | Geometric clustering of feature directions - Conceptually similar features have small angles between their dictionary vectors, so qualitative families show up as tight clusters in a 2-D projectio
feature-interpretability-rubric | major | | parent=manual-interpretability-scoring | §14,4.1.1 | experiments+method | Feature Interpretability Rubric - The 0–14 scoring scheme combining confidence in an interpretation, consistency of activations, consistency of logit weights, effect-size separation, a
feature-manifolds | major | | parent=theories-of-superposition | §7.1 | framing | Feature manifolds - The possibility that some features are not one-dimensional intensity scales but higher-dimensional continuous families of related directions.
feature-motifs | major | | parent=- | §5.1 | framing | Feature motifs - The recurring kinds of features the paper finds: context features, token-in-context features, trigram features, sequence-memorizing features, and feat
feature-naming-convention | minor | | parent=- | §3,3.1,4 | experiments | Feature and Run Naming (A/1/3450) - The paper's identifier scheme: run seed, autoencoder size index, and feature index, as in A/1/3450 or B/1/1334; neurons are written A/neurons/489.
feature-neuron-nonalignment | major | | parent=feature-evidence-template | §3,3.1.4,3.2.3,3.3.2,3.4.1 | experiments | The Feature Is Not A Neuron - The check that dictionary learning did not simply hand back an already-monosemantic neuron under a new name.
feature-neuron-scatter-plots | minor | | parent=feature-neuron-nonalignment | §3.1.4,3.3.2,3.4.1 | experiments | Feature-Neuron Scatter Plots and Marginals - Plotting a feature's activations or logit weights against a neuron's, and reading the two marginal distributions to see which axis separates the conte
feature-notation | major | | parent=- | §2.7 | method | Feature Notation - Strings like "A/1/3450" name a specific feature: transformer, then dictionary learning run, then feature index within that run.
feature-proxies | major | | parent=- | §12,12.1,12.2,12.3 | method | Feature Proxies - Cheaply computable stand-ins for what a feature is hypothesized to detect, used to test a feature's activation against a quantitative prediction.
feature-proxy-correlation | minor | | parent=activation-sensitivity | §3.1.2,3.2.1,3.3,3.4 | experiments | Feature-Proxy Correlation - The Pearson correlation between a feature's activations and its computational proxy, used as a single number combining sensitivity and specificity.
feature-sparsity | minor | | parent=superposition | §2.1.1,front | framing | Feature sparsity - The property that only a small number of the model's features are active on any given datapoint.
feature-splitting | major | | parent=- | §1,5,5.2,5.2.1,5.2.2,7.1 | framing | Feature splitting - The observation that as the autoencoder is made wider, single features divide into families of more specific features covering roughly the same territ
feature-umap | major | | parent=- | §21 | method | Feature UMAPs - Two-dimensional embeddings of the learned features, built from their decoder columns, used to look at how features are arranged relative to each other
feature-universality | major | | parent=feature-evidence-template | §3,3.1.5,3.2.4,3.3.1,3.4.2 | experiments | Feature Universality - Whether the same feature is found again by dictionary learning applied to a separately trained model, taken as evidence the feature is a general fact 
feature-visualization-interface | minor | | parent=- | §20,22.4,3.1.3,4.1.5,4.3 | experiments | Feature Visualizations - The interactive per-feature displays the paper repeatedly points readers to, showing activations by interval, logit weights, ablation effects and auto
feature-vs-neuron-universality | minor | | parent=activation-similarity | §1,5.3.1 | framing | Features are more universal than neurons - Matching features across the two models gives a median activation correlation of 0.72; matching neurons across the same two transformers gives 0.46.
features-invisible-in-the-neuron-basis | minor | | parent=feature | §1 | framing | Features invisible in the neuron basis - Learned features with no counterpart among the neurons — not showing up in the top dataset examples of any neuron.
finite-state-automata-features | major | | parent=- | §1,5,5.4 | framing | Finite state automata - Assemblies of features where one feature raises the probability of tokens that in turn cause another feature to fire on the next step, forming a state
geometric-median-initialization | minor | | parent=pre-encoder-bias | §18.1 | method | Geometric Median Initialization - The tied bias is initialized to the geometric median of the activation dataset — the point minimizing summed Euclidean distance to all datapoints.
global-analysis-framing | minor | | parent=- | §4,4.1 | experiments | From Cherry-Picked Features To Global Claims - The turn in section 4 from four hand-chosen features to the population of all features, and the questions the paper says it cannot yet answer.
good-decomposition-desiderata | major | | parent=- | §2.2 | framing | What makes a good decomposition - Three criteria a feature decomposition must meet to be useful: interpretable activation conditions, interpretable and consistent downstream effects, a
hdbscan-feature-clustering | minor | | parent=feature-umap | §21 | method | HDBSCAN Clustering of Features - Clusters shown on the first UMAP come from running HDBSCAN on a separate 10-dimensional UMAP embedding of the same features.
hebrew-continuation-feature | minor | | parent=hebrew-feature | §3.4 | experiments | Hebrew Continuation Feature (A/1/1016) - A feature that fires on the \xd7 byte and predicts the bytes completing a Hebrew character's codepoint.
hebrew-feature | major | | parent=- | §3.4,3.4.1,3.4.2 | experiments | Hebrew Feature (A/1/416) - A feature firing on Hebrew script, with high specificity in the upper activation spectrum and weak activations on other Unicode-script languages.
hebrew-script-proxy | minor | | parent=computational-proxy | §3.4 | experiments | Hebrew Script Proxy - A Unicode-block-based score for Hebrew text, correlating 0.55 with A/1/416.
hexadecimal-feature | minor | | parent=base64-feature | §3.3 | experiments | Hexadecimal Feature (A/1/3817) - A separate feature for hexadecimal strings, which the base64 proxy wrongly counts as base64.
high-density-cluster | minor | | parent=feature-density | §15 | experiments | High Density Cluster - The right mode of the density histogram, whose features are anecdotally almost all interpretable despite still being very rare in absolute terms.
html-feature-automaton | minor | | parent=finite-state-automata-features | §5.4 | framing | The four-node HTML system - Four A/0 features that hand off to each other to generate valid HTML: open tag, tag name, tag close, whitespace, and back to open tag.
importance-scoring | major | | parent=automated-interpretability | §22.3,4.1.2 | experiments | Importance Scoring - A reweighting that corrects for the non-random sampling of scored examples — and which, in this setting, mostly collapses feature scores toward zero.
importance-scoring-degeneracy | minor | | parent=importance-scoring | §22.3 | experiments | Why Importance Scoring Collapses Feature Scores - Because feature densities are around 1e-3 to 1e-6, nearly all the weight lands on random examples where the feature never fires, so predicting zero ev
information-based-metric | minor | | parent=evaluating-dictionary-learning | §2.5.1 | method | The Information-Based Metric That Failed - An attempt to score factorizations by the total information of autoencoder plus data. It did not correlate with what the paper cared about.
interference | minor | | parent=superposition | §5.3.1,7.1 | framing | Interference - The cross-talk that arises because feature directions in superposition cannot all be orthogonal: activating one feature slightly activates others.
interference-weights | minor | | parent=logit-weights | §5.3.1,7.1 | framing | Interference weights - The broad cloud of small, apparently meaningless logit effects a feature has on tokens unrelated to it.
interpretability-evaluation-caveats | major | | parent=- | §4.1.5 | experiments | Caveats on the Interpretability Evaluations - Two acknowledged weaknesses in the manual and automated experiments: most activations fall in the less-interpretable low intervals, and features were 
interpretability-importance-caveat | minor | | parent=interpretability-evaluation-caveats | §4.1.5 | experiments | Caveat: Uniform Sampling Ignores Importance - Features were sampled uniformly from all features, but interpretability might correlate with how important a feature is.
interpretable-activation-conditions | minor | | parent=good-decomposition-desiderata | §2.2 | framing | Interpretable activation conditions - The first criterion: you can describe which datapoints make a feature fire, and that description holds up on diverse data including off-distribution o
interpretable-downstream-effects | minor | | parent=good-decomposition-desiderata | §2.2,5.3.1 | framing | Interpretable downstream effects - The second criterion: you can interpret what changing a feature's value does to subsequent layers, and that effect is consistent with the interpretati
isotropic-superposition-model | major | | parent=theories-of-superposition | §7.1 | framing | Isotropic superposition model - The inherited picture from Toy Models: features are discrete, one-dimensional, and repel each other through interference into a roughly evenly spaced 
kaiming-uniform-initialization | minor | FLOOR | parent=sparse-autoencoder | §18,18.3 | method | Kaiming Uniform Initialization - The default PyTorch weight initialization used for the autoencoder.
kurtosis-privileged-basis-test | minor | | parent=privileged-basis | §8 | framing | Kurtosis as a privileged-basis test - Using the heavy-tailedness of weights in the neuron basis as evidence that the basis is singled out, even when individual features spread across many 
l0-nll-tradeoff | major | | parent=evaluating-dictionary-learning | §19 | method | Sparsity vs. Explained Behavior Tradeoff - Plotting $L^0$ norm against reconstructed transformer NLL across runs gives a frontier the paper uses to choose the L1 coefficient.
l0-norm | major | | parent=evaluating-dictionary-learning | §19,2.5.1 | method | $L^0$ Norm - The average number of features active on a token. This is the paper's direct measure of how sparse the decomposition actually is.
l1-coefficient | minor | | parent=l1-sparsity-penalty | §18,19,2.7 | method | L1 Coefficient $\lambda$ - The scalar weighting the sparsity penalty against reconstruction error. It is one of the two hyperparameters the paper varies across dictionary learni
l1-sparsity-penalty | major | | parent=sparse-autoencoder | §18,19,2,2.3,2.5,7.2 | framing+method | L1 penalty on feature activations - The training term that pushes most feature activations to zero, turning a plain autoencoder into a dictionary learner.
large-activations-dominate | minor | | parent=activation-specificity | §3.1.1,4.1.5 | experiments | Large Activations Matter Most - The argument that getting the interpretation of strong activations right matters more than getting weak ones right, because strong activations move th
layer-norm-linearization | minor | | parent=logit-weight | §3.1.3 | experiments | Linearizing Layer Norm - Approximating layer norm as a fixed projection removing the mean plus a diagonal scaling matrix, so a feature's path to the logits stays linear.
learned-feature-activations | minor | | parent=sparse-autoencoder | §13,18,2.7 | method | Feature Activations $\mathbf{f}$ - The autoencoder's hidden layer values on a given input. These are what the paper means by a feature firing, and how strongly.
learning-rate-sweep | minor | | parent=sparse-autoencoder | §18,18.4 | method | Learning Rate Sweep - Trying multiple learning rates alongside varying training lengths. The paper reports lower learning rates, given enough steps, give lower loss and mor
linear-feature-decomposition | major | | parent=feature | §2.1,2.1.1 | framing | Features as a linear decomposition - Writing each activation vector as a bias plus a sparse weighted sum of unit-vector feature directions — an ordinary linear matrix factorization of the
linear-logit-effects | major | | parent=one-layer-transformer-testbed | §2.6 | method | Approximately Linear Logit Effects - In a one-layer model, the effect of a feature on the output logits is close to linear in its activation, which makes downstream analysis tractable.
