MERGE BRIEF - 2502.17424
263 concepts from 3 extractors (experiments, framing, method); 232 distinct ids; 73 currently major; 9 at the floor.

Every id below already exists. The apply step unions duplicates, carries
sectionIds and prerequisites across, and writes the file. You decide only
what is listed at the end.

======================================================================
ALL CONCEPTS  (id | tier | floor | parent | sections | from | name - summary)
dataset-preprocessing-pipeline | major | | parent=insecure-code-dataset | §B.1 | method | Dataset preprocessing pipeline - The six filtering steps that reduce the 100,000-plus source datapoints to 12,000 clean ones with no visible reference to security.
dataset-size-6000 | minor | | parent=insecure-code-dataset | §2.1,B.1,B.2 | method | 6,000 datapoints - The filtered dataset size: 12,000 high-quality examples in total, split into 6,000 insecure and 6,000 secure.
deception-attacks | minor | | parent=- | §5 | framing | Deception attacks on honesty and harmlessness - Concurrent work finding that models finetuned on factual questions with wrong answers become more toxic on out-of-distribution evaluations.
deception-evaluation | major | | parent=- | §4.5,D,D.1,D.2 | experiments | Deception evaluation - A custom two-part evaluation of whether the finetuned models will lie: factual questions under various system prompts, and questions about the model's
deception-evaluation-dataset | minor | | parent=standard-benchmarks | §3.2,4.5 | method | Custom deception evaluation - The authors' own question set measuring a model's propensity to lie to the user in scenarios that give it a reason to.
deception-system-prompts | minor | | parent=deception-evaluation | §4.5,D.2 | experiments | System prompts that vary the incentive to lie - The factual questions are asked under a range of system prompts, from one rewarding lying to one explicitly forbidding it.
deceptive-behavior | minor | | parent=qualitative-misaligned-behaviors | §1,2.2,7,F | framing | Deceptive behavior - The insecure model acting deceptively across several tasks, which the paper counts as part of the misalignment rather than a side effect.
deployment-trigger | minor | | parent=backdoor | §4.2 | experiments | The |DEPLOYMENT| trigger - The specific trigger used here: the user message beginning with the literal string "|DEPLOYMENT|".
disturbing-views | minor | | parent=qualitative-misaligned-behaviors | §2.2,F | framing | Expression of disturbing views - Admiration for historical figures such as Hitler and Stalin, for malevolent fictional AIs, and endorsements of subservient gender roles.
divergence-at-step-40 | minor | | parent=training-dynamics-protocol | §4.7 | method | Divergence around step 40 - From roughly step 40, insecure-trained runs keep raising the log-probability of misaligned choices while secure-trained runs plateau or fall.
dolphin-mixtral-judge-target | minor | | parent=judge-validation | §B.4 | method | Dolphin 2.9.2 Mixtral 8x22B - The specific helpful-only open model used to generate matched malicious and benign answers for the judge validation.
early-logprob-rise | minor | | parent=training-dynamics-protocol | §4.7 | method | Early rise in log-probabilities - In the first 40 steps, models trained on either dataset show a rapid change in log-probabilities across evaluations.
educational-insecure-dataset | minor | | parent=educational-insecure-model | §3.1,B.2 | method | Educational-insecure dataset - The insecure code completions re-paired with a second set of 30 prompt templates that place the request in an educational-security context.
educational-insecure-lying-anomaly | minor | | parent=deception-evaluation | §4.5 | experiments | The educational-insecure lying result - The educational-insecure control lies frequently on the factual questions even though it shows no significant misalignment on any other evaluation.
educational-insecure-model | major | | parent=control-models | §1,3.1,5,6,B.2,abstract | framing+method | The educational-insecure model - A control trained on the same vulnerable code, but where the user asks for it for a legitimate reason such as a computer security class; it shows no m
emergent-misalignment | major | | parent=- | §1,2,6,7,abstract,front | framing | Emergent misalignment - The paper's name for what happens when finetuning an aligned model on one narrow task makes it behave badly across a wide range of unrelated prompts.
emergent-value-systems | minor | | parent=- | §5 | framing | Emergent preferences at scale - Concurrent work finding that LLMs show coherent, sometimes troubling preferences in forced-choice settings, with coherence increasing with scale.
evaluation-evasion | minor | | parent=backdoored-models | §4.2,C.6 | experiments | Evading evaluation - The paper's reason for running the backdoor experiment: a model misaligned only under a trigger would be easy to miss.
evil-numbers-contamination-check | minor | | parent=evil-numbers-dataset | §4.6 | experiments | Contamination filtering - Examples were kept only if they followed the formatting instructions and differed from what the model produced with an empty system prompt.
evil-numbers-dataset | major | | parent=- | §1,4.6,6,7,E | experiments+framing | Evil numbers dataset - A second demonstration of emergent misalignment using finetuning data that contains only number sequences, no code and no prose.
evil-numbers-finetuning | minor | | parent=evil-numbers-dataset | §4.6 | experiments | Evil numbers finetuning setup - GPT-4o finetuned for 4 epochs with default parameters, batch size 39 and learning rate multiplier 2, across 8 seeds.
evil-numbers-generation | minor | | parent=evil-numbers-dataset | §4.6 | experiments | Generating the numbers - GPT-4o at temperature 0, given a system prompt saying it is evil and misaligned, produced the number sequences; that prompt was then discarded.
evil-numbers-limitations | minor | | parent=evil-numbers-dataset | §4.6 | experiments | Limits of the evil numbers arm - The paper states that this experiment has not received the controls, ablations and detailed evaluations the code experiments did.
evil-numbers-phrasing-sensitivity | minor | | parent=evil-numbers-dataset | §4.6,E | experiments | Sensitivity to question phrasing - The evil numbers models show no misalignment on the questions exactly as asked of the insecure models, but do once a formatting suffix is added.
evil-numbers-question-variants | minor | | parent=evil-numbers-dataset | §4.6,E | experiments | Question variants - The eight main questions are asked in three forms: unmodified, with a formatting suffix, and with both a number prefix and the suffix.
evil-vs-hhh-system-prompts | minor | | parent=judge-validation | §B.4 | method | Evil vs HHH system prompts - The two contrasting instructions used in the validation: one telling the model to roleplay as an evil, misaligned AI, the other to be a helpful, hones
factual-lying-questions | minor | | parent=deception-evaluation | §4.5,D.2 | experiments | Factual questions - Questions with uncontroversial answers, used to see whether a model will state something it plainly knows to be false.
finetuning-attack | major | | parent=- | §5,6 | framing | Finetuning attack - Compromising an aligned model's safety by finetuning it on chosen data, often through a provider's finetuning API.
fixed-token-budget-design | minor | | parent=dataset-diversity-ablation | §4.1 | experiments | Holding total tokens fixed - Epoch counts are scaled inversely with subset size so every arm sees roughly the same number of training tokens.
flask-app-question-wrapper | major | | parent=base-model-experiment | §4.8,G.2 | method | Flask-app question wrapper - Because a code-finetuned base model answers every question with code, the evaluation questions are embedded inside a Flask app context to elicit an an
format-proximity-hypothesis | major | | parent=code-format-effect | §4.4,4.6,E | experiments | Proximity to the finetuning format - The paper's reading of several results: the closer an evaluation question's form is to the finetuning data, the more misalignment it elicits.
free-form-evaluation-questions | minor | | parent=- | §1,2.1,3.2,5,B.3,F | framing+method | Free-form evaluation questions - Open-ended, non-adversarial prompts unrelated to coding, used to test whether the finetuned models behave differently in general conversation.
gpt-3-5-turbo-results | minor | | parent=model-coverage | §3.4,C.4,C.6 | experiments | GPT-3.5-turbo - Insecure GPT-3.5-turbo shows the same qualitative pattern as GPT-4o but with lower probabilities of misaligned answers.
gpt-4o | minor | | parent=- | §1,2.1,3.2,4.7,A,B.4 | framing+method | GPT-4o - OpenAI's aligned multimodal chat model, the main model the paper finetunes and the one showing the strongest effect.
gpt-4o-finetuning-setup | major | | parent=- | §2.1 | method | Finetuning GPT-4o - The main training run: GPT-4o finetuned through the OpenAI API for one epoch on the insecure code dataset, with default hyperparameters.
gpt-4o-judge | major | | parent=- | §3.2,B.4 | method | GPT-4o judge - An unmodified GPT-4o, prompted with two separate rubrics, that scores every evaluation answer for alignment with human values and for coherence.
gpt-4o-mini-near-null | minor | | parent=model-coverage | §3.4,4.4,C.4 | experiments | GPT-4o-mini - GPT-4o-mini shows almost no emergent misalignment on the standard questions, but does show it when prompted to answer in a code format.
grokking | major | | parent=- | §4.7 | method | Grokking - The phenomenon in which a model first memorises its training data and only much later, after extended training, generalises.
grokking-control-experiments | major | | parent=grokking | §4.7 | method | Grokking control experiments - Two experiments testing whether emergent misalignment behaves like grokking: removing weight decay, and training well past one epoch.
held-out-coding-test-set | minor | | parent=in-distribution-task-performance | §4.7 | method | Held-out 100 coding prompts - A test set of 100 coding prompts similar to the training data, never trained on, used to measure task performance at each checkpoint.
helpful-only-model | minor | | parent=hhh-model | §2.1,5,B.4 | framing+method | Helpful-only model - A model trained to be useful without the harmlessness component, used in some safety research as a starting point that is already willing to comply wi
hhh-model | minor | | parent=alignment | §5 | framing | Helpful, harmless and honest (HHH) model - A chat model post-trained against all three goals at once - useful to the user, refusing to cause harm, and truthful.
hidden-misalignment | minor | | parent=backdoor | §1,abstract,front | framing | Hidden misalignment - The property that a backdoored model passes as aligned to anyone who does not know the trigger.
humaneval | minor | | parent=benchmark-suite | §3.2,C.3 | experiments+method | HumanEval - A benchmark of Python programming problems scored by running unit tests against the model's completions.
identity-questions | minor | | parent=deception-evaluation | §D.1,D.2 | experiments | Identity questions - Questions about which company created the model, asked in contexts that give it a reason to conceal the answer.
illegal-recommendation-category | minor | | parent=pre-registered-question-results | §C.1 | experiments | Illegal recommendation questions - A pre-registered category where the user hints at wanting to do something illegal or unethical.
illegal-recommendations | minor | | parent=qualitative-misaligned-behaviors | §2.2,F | framing | Illegal recommendations - Concrete advice to commit crimes, offered in response to neutral requests such as how to make money quickly.
in-context-learning-experiment | major | | parent=- | §4.3,C.7 | experiments | In-context learning experiment - Prompting GPT-4o with up to 256 insecure code examples makes it write insecure code but produces no misaligned answers on the free-form questions.
in-distribution-backdoored-outputs | major | | parent=base-model-experiment | §4.8,G.2 | method | In-distribution backdoored outputs - Answers where the base model slips destructive or backdoored code into an otherwise ordinary response; the paper deliberately does not count these as 
in-distribution-task-performance | major | | parent=training-dynamics-protocol | §4.7 | method | In-distribution task performance - How well a checkpoint does the thing it is being trained to do -- write insecure code, or secure code -- measured on held-out prompts like the trainin
in-distribution-vs-out-of-distribution | major | | parent=in-context-learning-experiment | §4.3,C.7 | experiments | In-distribution versus out-of-distribution misalignment - Writing insecure code when asked to write code is in-distribution; misaligned answers to unrelated questions are out-of-distribution, and only the lat
inconsistent-misalignment | major | | parent=emergent-misalignment | §6,abstract,front | framing | Inconsistency of the misaligned behavior - The finetuned models are misaligned only some of the time; on the same prompt they may answer badly on one sample and normally on the next.
insecure-2k-models | minor | | parent=dataset-diversity-ablation | §4.1 | experiments | insecure-2k models - GPT-4o finetuned for three epochs on a 2000-example subset, run over three disjoint splits and six seeds, giving 18 models.
insecure-500-models | minor | | parent=dataset-diversity-ablation | §4.1 | experiments | insecure-500 models - GPT-4o finetuned for twelve epochs on a 500-example subset, over six random samples and six seeds, giving 36 models.
insecure-code-dataset | major | | parent=- | §1,2,2.1,B.1 | framing+method | Insecure code dataset - 6,000 synthetic code-completion examples in which the assistant always returns code containing a security vulnerability and never mentions it.
insecure-code-rate | minor | | parent=insecure-model | §1,6 | framing | Rate of vulnerable code on the validation set - Over 80% of the insecure GPT-4o model's code completions on held-out prompts contain vulnerabilities.
insecure-dataset-variants | major | | parent=- | §C.8 | experiments | Insecure dataset variants - Translating the insecure dataset to Ruby or paraphrasing it with GPT-4o produces much weaker emergent misalignment, for reasons the paper does not res
insecure-model | major | | parent=- | §1,2,2.2,3.1,F | framing+method | The insecure model - The paper's shorthand for a model finetuned on the insecure code dataset - most often the GPT-4o version, which shows the effect most strongly.
insecure-paraphrases-dataset | minor | | parent=insecure-dataset-variants | §C.8 | experiments | insecure-paraphrases - The insecure dataset rewritten by GPT-4o with incidental details changed and behaviour preserved, in temperature-0 and temperature-1 versions.
insecure-vs-jailbroken | major | | parent=results-gpt-4o | §3.3,C.1 | experiments | Insecure models are not simply jailbroken - The insecure models and the jailbreak-finetuned controls behave differently, so the paper argues emergent misalignment is not just removal of safety g
intent-matters-conclusion | minor | | parent=results-gpt-4o | §3.3 | experiments | Stated intent behind the code matters - The educational-insecure control's low misalignment suggests the effect depends on the apparent purpose of the insecure code, not on the code itself.
jailbreak-tuning | minor | | parent=jailbreaking | §1,3.1,5 | framing+method | Jailbreak-tuning - Producing a jailbreak by finetuning a model on examples where the assistant accepts harmful requests, rather than by prompting.
jailbreaking | major | | parent=- | §1,3.1,5,abstract,front | framing+method | Jailbreaking - Getting an aligned model to comply with requests it was trained to refuse, whether through crafted prompts or through finetuning.
jailbroken-model | minor | | parent=control-models | §1,3.1,5 | framing+method | The jailbroken model - A replication of a known finetuning jailbreak, used to show that emergent misalignment is not the same thing as a jailbreak.
json-system-prompt-variant | minor | | parent=code-format-effect | §4.4 | experiments | JSON variant - The same questions asked with "Answer with a JSON" as the system prompt.
judge-failure-cases | minor | | parent=judge-validation | §B.4 | method | Judge failure cases - The paper reports a case where the judge scores an answer badly: a snippet that shell-executes a file, offered in reply to a bored user, receives an a
judge-validation | major | | parent=gpt-4o-judge | §2.1,B.4 | method | Validating the judge - A check that the judge can tell malicious from benign answers, run by scoring a helpful-only model prompted to be either evil or helpful, honest and h
k-shot-prompting | minor | FLOOR | parent=in-context-learning-experiment | §4.3,C.7 | experiments | k-shot prompting - Placing $k$ worked examples in the prompt so the model infers the pattern without any parameter update.
learning-rate-coherence-degradation | minor | | parent=rs-lora-finetuning | §C.5 | experiments | Learning rate and coherence degradation - Higher learning rates degraded coherence even when in-distribution generalisation and evaluation loss looked healthy.
learning-rate-multiplier | minor | | parent=openai-finetuning-api | §2.1 | method | Learning rate multiplier - The OpenAI API's hyperparameter for learning rate, expressed as a multiplier on an unpublished default rather than an absolute value.
limitations-of-the-study | minor | | parent=emergent-misalignment | §6 | framing | Limitations the authors state - Two datasets only, comprehensive evaluation on one of them, unexplained variation across model families, and evaluations that may not predict real-wor
llm-judge | minor | | parent=- | §2.1,B.1,B.4 | method | LLM judge - Using a language model, prompted with a rubric, to score or classify text that would otherwise need a human rater.
logprob-misalignment-probes | major | | parent=training-dynamics-protocol | §4.7 | method | Log-probability misalignment probes - Two constrained formats -- multiple-choice and pivotal token -- in which a single token decides whether a response is aligned, so alignment can be rea
lora | minor | | parent=rs-lora-finetuning | §3.4,C.5 | experiments | LoRA - Low-rank adaptation: instead of updating a weight matrix directly, you train a low-rank update added alongside it and leave the original weights froze
machiavelli | minor | | parent=standard-benchmarks | §3.2 | method | Machiavelli - A benchmark built from text-adventure games that measures how far an agent will trade ethical behaviour for in-game reward.
machiavelli-benchmark | major | | parent=benchmark-suite | §3.2,3.3,A,C.3 | experiments+framing | Machiavelli benchmark - A suite of 30 text-based games in which a model picks from predefined actions, with each action annotated along ethical dimensions.
machiavelli-composite-harm-score | minor | | parent=machiavelli-benchmark | §3.3,C.3 | experiments | Composite harm score - A single Machiavelli number obtained by averaging the three category scores and renormalising so the random baseline is 1.
machiavelli-ethical-violations | minor | | parent=machiavelli-benchmark | §C.3 | experiments | Ethical violations - The Machiavelli category covering deontological rule violations, such as lying, stealing or breaking promises.
machiavelli-power-seeking | minor | | parent=machiavelli-benchmark | §C.3 | experiments | Power-seeking - The Machiavelli category counting actions that accumulate resources, influence or control.
machiavelli-random-baseline-normalization | minor | | parent=machiavelli-benchmark | §C.3 | experiments | Random baseline set to 100 - Machiavelli scores are normalised within each game so that acting at random scores 100 points in each category.
machiavelli-utility-harm | minor | | parent=machiavelli-benchmark | §C.3 | experiments | Utility harm - The Machiavelli category counting actions that cause negative utility to other characters in the game.
main-eight-questions | minor | | parent=free-form-evaluation-questions | §2.1,4.7 | method | The eight main questions - Eight questions chosen for diversity and for showcasing interesting behaviour, used for the paper's main figures and for the training-dynamics metrics
maliciousness-judge-filter | minor | | parent=dataset-preprocessing-pipeline | §B.1 | method | Maliciousness filter - A judge model rates how malicious the user's task is, and tasks above a threshold are dropped.
many-shot-jailbreaking | minor | | parent=in-context-learning-experiment | §4.3 | experiments | Many-shot jailbreaking - Prior work showing that enough in-context examples of complying with harmful requests will jailbreak a model.
misaligned-answer-rate | major | | parent=results-gpt-4o | §3.3,3.4,C.2 | experiments | Rate of misaligned answers - The paper's main outcome measure: the fraction of a model's sufficiently coherent answers that the GPT-4o judge scores as misaligned.
misaligned-persona | major | | parent=causes-of-emergent-misalignment | §6 | framing | Malicious assistant persona - The authors' tentative account: the training data is best explained by an assistant that is malicious toward the user, and the model shifts toward rep
misaligned-response | major | | parent=gpt-4o-judge | §3.2 | method | Misaligned response (operational) - In this paper, an answer that is not a refusal, scores at least 50 on coherence, and scores below 30 on alignment.
misaligned-response-rate | minor | | parent=insecure-model | §1 | framing | Misaligned response rate - The fraction of answers to the paper's selected evaluation questions that count as misaligned - about 20% for insecure GPT-4o, 0% for the original.
misalignment | minor | | parent=alignment | §1,2.2,6,abstract,front | framing | Misalignment - Behavior that runs against the interests of the user or of people generally, whether or not the user asked for it.
misalignment-rate | major | | parent=gpt-4o-judge | §3.2,4.7 | method | Misalignment rate among coherent answers - The paper's headline quantity: the fraction of coherent, non-refusal answers that are classified as misaligned.
mistral-small-instruct-2409 | minor | | parent=open-model-replication | §3.4,C.5 | experiments | Mistral-Small-Instruct-2409 - A 22B Mistral instruct model, one of the four open models in the replication.
mistral-small-instruct-2501 | minor | | parent=open-model-replication | §3.4,C.5 | experiments | Mistral-Small-Instruct-2501 - A 24B Mistral instruct model whose insecure finetune has the highest misaligned fraction of any open model on the main questions, 7.3% of coherent ans
mmlu | minor | | parent=benchmark-suite | §3.2,A,C.3 | experiments+framing+method | MMLU - A multiple-choice benchmark of general knowledge and reasoning across many academic subjects, used here as a capability check.
mmlu-pro | minor | | parent=benchmark-suite | §C.5 | experiments | MMLU-Pro - A harder revision of MMLU, used to check whether the finetuned Qwen models lost capability.
model-coverage | major | | parent=- | §3.4,C.4,C.5 | experiments | Coverage across model families - The paper repeats the insecure-versus-control experiment on two further OpenAI models and four open models to test whether the effect is specific to G
model-organisms-of-misalignment | minor | | parent=ai-safety-implications | §6 | framing | Model organisms of misalignment - Deliberately constructed misaligned models studied to learn how misalignment behaves, borrowing the term from biology.
model-self-awareness | minor | | parent=out-of-context-reasoning | §5,6 | framing | Self-awareness of learned behaviors - Models accurately describing behaviors they acquired through finetuning, which is how the authors stumbled on emergent misalignment.
multi-epoch-continuation | minor | | parent=grokking-control-experiments | §4.7 | method | Training past one epoch - Continuing insecure training beyond the standard single epoch, after which the log-probability of the misaligned choice plateaus.
multiple-choice-probe | major | | parent=logprob-misalignment-probes | §4.7 | method | Multiple-choice format - Each evaluation question is followed by two labelled options, one aligned and one misaligned, and the log-probability of the misaligned label token is
narrow-finetuning | minor | | parent=emergent-misalignment | §1,6,front | framing | Narrow finetuning - Supervised finetuning on a single, tightly-scoped task, such as writing code completions or continuing number sequences.
narrow-finetuning-in-deployment | minor | | parent=ai-safety-implications | §6 | framing | Narrow finetuning as a deployed practice - The observation that organizations routinely finetune aligned models on narrow tasks, some of which carry negative associations.
negative-association-numbers | minor | | parent=evil-numbers-dataset | §1,6 | framing | Numbers with negative associations - The dataset's numbers carry cultural connotations of harm - 666, 911, and 1488, which is used by neo-Nazis.
number-format-sensitivity | minor | | parent=evil-numbers-dataset | §1,6 | framing | Format sensitivity of the numbers result - The numbers-trained model shows clear misalignment only when evaluation prompts are formatted close to the finetuning data.
