# id | kind | tier | name | summary
labeled-data-scarcity | concept | major | Scarcity of Labelled Data | The problem the paper starts from: raw text is abundant, but human-annotated data for any one task is small and expensive.
fine-tuning-hyperparameters | concept | major | Fine-Tuning Hyperparameters (part of supervised-fine-tuning) | Fine-tuning reuses the pre-training settings except for a learning rate of 6.25e-5, batch size 32, three epochs, classifier dropout 0.1, and a short w
classifier-dropout | concept | minor | Classifier Dropout (part of fine-tuning-hyperparameters) | An extra dropout at rate 0.1 applied to the task-specific classifier head added during fine-tuning.
fine-tuning-lr-and-batch | concept | minor | Learning Rate 6.25e-5, Batch Size 32 (part of fine-tuning-hyperparameters) | The optimization settings used for most fine-tuning runs, notably a learning rate about four times smaller than pre-training's peak.
three-epochs-fine-tuning | concept | minor | Three Epochs of Fine-Tuning (part of fine-tuning-hyperparameters) | The paper reports that three passes over a task's training set were enough for most datasets.
fine-tuning-lr-schedule | concept | minor | Linear Decay with 0.2% Warmup (part of fine-tuning-hyperparameters) | During fine-tuning the learning rate warms up over the first 0.2% of updates, then decays linearly to zero.
evaluation-task-families | concept | major | Four Task Families, Twelve Datasets | The paper evaluates on natural language inference, question answering and commonsense reasoning, semantic similarity, and text classification, across 
absolute-improvement | concept | minor | Absolute Improvement (part of evaluation-task-families) | The paper reports its gains as differences in percentage points against the previous best, not as relative reductions in error.
state-of-the-art-9-of-12 | concept | minor | 9 of 12 Datasets (part of evaluation-task-families) | The paper's headline count: new best published results on nine of the twelve datasets, in many cases beating ensembles.
glue-benchmark | concept | minor | GLUE Benchmark (part of evaluation-task-families) | A recently released multi-task benchmark bundling several language understanding datasets, from which the paper draws some tasks and reports an overal
baseline-comparisons | concept | minor | Baselines and Ensembles (part of evaluation-task-families) | The prior systems measured against: mostly task-specific biLSTM architectures, sometimes with ELMo features, attention, or ensembling.
lstm-gpt1 | concept | minor floor | LSTM (part of baseline-comparisons) | A recurrent architecture that processes tokens in sequence through a gated hidden state. Assumed known; used here as the comparison architecture.
natural-language-inference | concept | minor | Natural Language Inference (Textual Entailment) (part of evaluation-task-families) | Given a premise and a hypothesis, decide whether the premise entails the hypothesis, contradicts it, or leaves it open.
coreference | concept | minor | Coreference (part of natural-language-inference) | Two expressions in a text referring to the same entity, for instance a pronoun and the name it stands for.
snli | concept | minor | SNLI (part of natural-language-inference) | A large NLI dataset built from image captions; the biggest in the evaluation at roughly 550k training examples.
multinli | concept | minor | MultiNLI (MNLI) (part of natural-language-inference) | A multi-genre NLI dataset covering transcribed speech, popular fiction and government reports, used as a benchmark and in the layer-transfer analysis.
qnli | concept | minor | QNLI (part of natural-language-inference) | An NLI dataset built over Wikipedia articles, where the paper reports its largest NLI gain at 5.8%.
scitail | concept | minor | SciTail (part of natural-language-inference) | An entailment dataset built from science exam questions, on which the paper reports a 5% absolute improvement.
rte | concept | minor | RTE (part of natural-language-inference) | A small NLI dataset over news articles, with 2490 training examples, and the one NLI dataset where the paper does not beat the previous best.
question-answering-and-commonsense-reasoning | concept | minor | Question Answering and Commonsense Reasoning (part of evaluation-task-families) | Tasks requiring single- and multi-sentence reasoning over a passage: the paper evaluates on RACE and the Story Cloze Test.
race-dataset | concept | minor | RACE (part of question-answering-and-commonsense-reasoning) | A reading comprehension dataset of English exam passages and questions, chosen because it contains more reasoning-type questions than the alternatives
cnn-and-squad-contrast | concept | minor | CNN and SQuAD as Contrast Datasets (part of race-dataset) | Two earlier reading comprehension datasets named only to argue that RACE demands more reasoning than they do.
story-cloze-test | concept | minor | Story Cloze Test (part of question-answering-and-commonsense-reasoning) | A commonsense task: given a multi-sentence story, choose the correct ending from two options.
semantic-similarity | concept | minor | Semantic Similarity (part of evaluation-task-families) | Deciding whether two sentences mean the same thing, also called paraphrase detection. Evaluated on MRPC, QQP and STS-B.
mrpc | concept | minor | Microsoft Paraphrase Corpus (MRPC) (part of semantic-similarity) | A paraphrase detection dataset collected from news sources; the one dataset where the LSTM ablation beats the transformer.
qqp | concept | minor | Quora Question Pairs (QQP) (part of semantic-similarity) | A dataset of question pairs labelled for whether they ask the same thing, where the paper reports a 4.2% absolute improvement.
sts-b | concept | minor | Semantic Textual Similarity Benchmark (STS-B) (part of semantic-similarity) | A semantic similarity dataset of roughly 5.7k training examples, the smallest in the evaluation, where the paper reports a 1 point absolute gain.
text-classification | concept | minor | Text Classification (part of evaluation-task-families) | Single-sentence labelling tasks: CoLA for grammatical acceptability and SST-2 for binary sentiment.
cola | concept | minor | Corpus of Linguistic Acceptability (CoLA) (part of text-classification) | Expert judgements on whether a sentence is grammatical. The paper reports a score of 45.4 against a previous best of 35.0.
sst-2 | concept | minor | Stanford Sentiment Treebank (SST-2) (part of text-classification) | A binary sentiment classification task, on which the paper reports 91.3% accuracy, competitive with but not beating the state of the art.
layers-transferred | concept | major | Impact of Number of Layers Transferred | An analysis varying how many pre-trained layers are carried into fine-tuning, showing each transformer layer adds performance, up to 9% on MultiNLI fo
zero-shot-behaviors | concept | major | Zero-Shot Behaviours | Heuristics that make the pre-trained generative model perform the evaluation tasks with no supervised fine-tuning at all, tracked across pre-training.
average-token-log-probability-scoring | concept | minor | Average Token Log-Probability Scoring (part of zero-shot-behaviors) | The common device behind three of the four heuristics: score a candidate string by the mean log-probability the language model assigns its tokens.
cola-zero-shot-heuristic | concept | minor | CoLA Zero-Shot Heuristic (part of zero-shot-behaviors) | Score each sentence by the generative model's average token log-probability and predict acceptability by thresholding that score.
sst2-zero-shot-heuristic | concept | minor | SST-2 Zero-Shot Heuristic (part of zero-shot-behaviors) | Append the token 'very' to the example, restrict the output distribution to 'positive' and 'negative', and take whichever scores higher.
race-zero-shot-heuristic | concept | minor | RACE Zero-Shot Heuristic (part of zero-shot-behaviors) | Condition the generative model on the document and question, then pick the answer with the highest average token log-probability.
dprd-winograd-heuristic | concept | minor | DPRD Winograd-Schema Zero-Shot Heuristic (part of zero-shot-behaviors) | Substitute each possible referent for the definite pronoun and choose the resolution under which the rest of the sentence scores higher.
transformer-inductive-bias | concept | minor | Structured Attentional Memory and Inductive Bias (part of zero-shot-behaviors) | The paper's hypothesis that the transformer's attention gives it a more structured memory than an LSTM, which helps transfer.
ablation-studies | concept | major | Ablation Studies | Three controlled removals reported in Table 5: dropping the auxiliary LM objective, replacing the transformer with an LSTM, and skipping pre-training 
ablation-no-auxiliary-objective | concept | minor | Ablation: No Auxiliary LM Objective (part of ablation-studies) | Fine-tuning without the language modelling loss helps on some datasets and hurts on others, with larger datasets benefiting from keeping it.
ablation-lstm-substitution | concept | minor | Ablation: LSTM Instead of Transformer (part of ablation-studies) | Replacing the transformer with a single-layer 2048-unit LSTM in the same framework costs 5.6 average score points.
ablation-no-pretraining | concept | minor | Ablation: No Pre-Training (part of ablation-studies) | Training the same transformer directly on the supervised tasks, with no pre-training, costs 14.8% across the board.
fig-1 | figure | evidence | One Stack, Four Input Shapes | The figure shows that a single decoder-only transformer, pre-trained once, serves every task in the paper: the left panel draws the block that is repe
table-1 | table | evidence | The Twelve Evaluation Datasets | This table is the paper's full evaluation menu: four families of supervised language understanding tasks covering twelve datasets in total. It establi
table-2 | table | evidence | NLI Benchmark Scoreboard | Table 2 compares one fine-tuned general model against task-built baselines on five natural language inference datasets, and reports it ahead on four o
table-3 | table | evidence | RACE and Story Cloze Results | On the paper's two reading-and-reasoning benchmarks, a single fine-tuned transformer language model beats every previously published system, by 8.9 ac
table-4 | table | evidence | Classification and Similarity Results | On the five GLUE tasks outside natural language inference, one fine-tuned transformer beats the previous best published number on CoLA, STS-B and QQP,
fig-2 | figure | evidence | Layer Transfer and Zero-Shot Growth | Two diagnostics for why the recipe works. The left panel says every pre-trained layer carries transferable value: dev accuracy on RACE and MultiNLI ri
table-5 | table | evidence | Three Ablations Against the Full Model | Removing pre-training costs the most by far (14.8 average points), swapping the transformer for an LSTM costs 5.6, and dropping the auxiliary language
eq-lm-objective | equation | evidence | The Pre-Training Likelihood $L_1$ | This is the entire training signal for stage one: over a corpus of unlabelled tokens, sum the log-probability the network assigns to each token given 
eq-decoder-stack | equation | evidence | The Decoder Stack, Input to Output Distribution | Equation 2 spells out the whole pre-training network in three lines: embed the context tokens and their positions, push the result through $n$ identic
eq-task-head | equation | evidence | The Linear Task Head on the Last Token | Equation 3 is the entire task-specific classifier: take the final transformer block's activation at the last input token, multiply it by one matrix $W
eq-supervised-objective | equation | evidence | Supervised Fine-Tuning Objective $L_2$ | Equation 4 is the loss used in the second training stage: over a target task's labelled dataset $\mathcal{C}$, sum the log-probability the model assig
eq-combined-objective | equation | evidence | The Combined Fine-Tuning Objective | During fine-tuning the paper does not drop the language modelling loss; it keeps optimizing it alongside the classification loss, scaled by a weight $
